client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,far,miss_rate,roc_auc,pr_auc
KFall::SA22,KFall,SA22,1,local_val,last_round_local_fit,434,0.9917309812568909,0.9920329016066096,0.9876160990712074,0.9859484777517564,0.9964497041420118,0.9911712772218952,0.01238390092879257,0.0035502958579881655,0.9995762116743303,0.9995376215690553
KFall::SA19,KFall,SA19,1,local_val,last_round_local_fit,514,0.9877800407331976,0.9878638524814888,0.9867046533713201,0.9846994535519126,0.9890230515916575,0.9868565169769989,0.013295346628679962,0.010976948408342482,0.9991962747176797,0.9990611863057607
KFall::SA28,KFall,SA28,1,local_val,last_round_local_fit,483,0.9830786026200873,0.9833003568631904,0.9793174767321613,0.977116704805492,0.9872832369942196,0.9821736630247269,0.020682523267838676,0.012716763005780347,0.9984063697389579,0.9982049986454035
KFall::SA29,KFall,SA29,1,local_val,last_round_local_fit,491,0.9820010587612493,0.9827003032506827,0.9777158774373259,0.9709443099273608,0.9876847290640394,0.9792429792429792,0.022284122562674095,0.012315270935960592,0.9984362922000998,0.9979102286053914
KFall::SA18,KFall,SA18,1,local_val,last_round_local_fit,519,0.9908722109533469,0.9915624250814957,0.9842446709916589,0.9812981298129813,0.9988801791713325,0.9900110987791343,0.015755329008341055,0.0011198208286674132,0.9985781700321832,0.9978541875805927
KFall::SA20,KFall,SA20,1,local_val,last_round_local_fit,388,0.9876195835678109,0.9880064941004298,0.9807692307692307,0.9789473684210527,0.995243757431629,0.9870283018867925,0.019230769230769232,0.0047562425683709865,0.9982773865056862,0.9975425215296886
KFall::SA37,KFall,SA37,1,local_val,last_round_local_fit,389,0.9754045307443365,0.9755587416715864,0.9736526946107784,0.9692737430167597,0.9774647887323944,0.9733520336605891,0.026347305389221556,0.022535211267605635,0.9978594922830395,0.9974411259717355
KFall::SA12,KFall,SA12,1,local_val,last_round_local_fit,438,0.9739304812834224,0.973834356650669,0.9635627530364372,0.964935064935065,0.9841059602649007,0.9744262295081967,0.03643724696356275,0.015894039735099338,0.9973063070309497,0.9973487534351217
SisFall::SA17,SisFall,SA17,0,local_val,last_round_local_fit,927,0.9778534923339012,0.9769001270697144,0.9837606837606837,0.9783352337514253,0.9700395703787451,0.974169741697417,0.01623931623931624,0.029960429621254947,0.997905040754108,0.9973193162245433
KFall::SA08,KFall,SA08,1,local_val,last_round_local_fit,567,0.9810888252148997,0.9821155711273891,0.9774859287054409,0.9654178674351584,0.9867452135493373,0.9759650400582666,0.0225140712945591,0.013254786450662739,0.998009157048634,0.9970203936313431
SisFall::SA23,SisFall,SA23,0,local_val,last_round_local_fit,1189,0.9745958429561201,0.9743842364532019,0.9777777777777777,0.9747252747252747,0.9709906951286261,0.9728544008774335,0.022222222222222223,0.029009304871373837,0.997191880250351,0.9968585190009946
SisFall::SA18,SisFall,SA18,0,local_val,last_round_local_fit,881,0.9809750297265161,0.981659905341447,0.9776876267748479,0.9689265536723164,0.985632183908046,0.9772079772079773,0.02231237322515213,0.014367816091954023,0.9973803362010677,0.9963870816610798
SisFall::SA10,SisFall,SA10,0,local_val,last_round_local_fit,1083,0.9855108668498626,0.9853920642418517,0.9863013698630136,0.9822247706422018,0.9844827586206897,0.9833524684270953,0.0136986301369863,0.015517241379310345,0.9977034350699154,0.9961600282070232
KFall::SA15,KFall,SA15,1,local_val,last_round_local_fit,528,0.980034227039361,0.9806663908151935,0.972457627118644,0.9685230024213075,0.9888751545117429,0.9785932721712538,0.02754237288135593,0.011124845488257108,0.9962746956904318,0.9950418785387898
KFall::SA24,KFall,SA24,1,local_val,last_round_local_fit,391,0.9574700109051254,0.9610104630885488,0.9346153846153846,0.92018779342723,0.9874055415617129,0.9526123936816525,0.06538461538461539,0.012594458438287154,0.9961235710133695,0.9946794067438576
SisFall::SA09,SisFall,SA09,0,local_val,last_round_local_fit,879,0.9776562871404801,0.9790607019370686,0.9728997289972899,0.9580838323353293,0.9852216748768473,0.9714632665452337,0.02710027100271003,0.014778325123152709,0.9968985351359495,0.9945179108923112
SisFall::SA21,SisFall,SA21,0,local_val,last_round_local_fit,879,0.966009032564773,0.9632886445859532,0.9752226093689508,0.9602237414543194,0.9513546798029556,0.9557686359418497,0.024777390631049168,0.04864532019704434,0.9959235165891419,0.9941638922065789
SisFall::SA20,SisFall,SA20,0,local_val,last_round_local_fit,870,0.9605911330049262,0.9636699507389163,0.9482758620689655,0.9265734265734266,0.979064039408867,0.9520958083832335,0.05172413793103448,0.020935960591133004,0.9955195365899036,0.9935342727292619
