client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,far,miss_rate,roc_auc,pr_auc
KFall::SA18,KFall,SA18,0,local_val,last_round_local_fit,492,0.9884942471235618,0.9885784104331992,0.9865513928914506,0.9854620976116303,0.9906054279749478,0.9880270692347736,0.013448607108549471,0.009394572025052192,0.9993211521762237,0.999254663698655
KFall::SA19,KFall,SA19,0,local_val,last_round_local_fit,616,0.9860365198711063,0.9860106962750286,0.9854096520763187,0.9866117404737385,0.9866117404737385,0.9866117404737385,0.014590347923681257,0.013388259526261586,0.9990521995328037,0.999143640126797
KFall::SA22,KFall,SA22,0,local_val,last_round_local_fit,499,0.9862778730703259,0.9861697787164594,0.9869477911646586,0.9827814569536424,0.9853917662682603,0.9840848806366048,0.013052208835341365,0.014608233731739707,0.9986146445009787,0.9981779580236053
KFall::SA24,KFall,SA24,0,local_val,last_round_local_fit,472,0.9806046776953794,0.9802238063313151,0.9851694915254238,0.9825653798256538,0.9752781211372065,0.9789081885856079,0.014830508474576272,0.024721878862793572,0.9976168527791163,0.9972755693727436
SisFall::SA05,SisFall,SA05,1,local_val,last_round_local_fit,887,0.9721362229102167,0.9742968469577408,0.962620578778135,0.947752808988764,0.9859731151373465,0.9664852477800058,0.03737942122186495,0.014026884862653419,0.9977058789260337,0.9968612135600566
KFall::SA23,KFall,SA23,0,local_val,last_round_local_fit,426,0.9826989619377162,0.9803079935238526,0.9914529914529915,0.9865470852017937,0.9691629955947136,0.9777777777777777,0.008547008547008548,0.030837004405286344,0.9979486621679475,0.9967671674833466
SisFall::SA17,SisFall,SA17,1,local_val,last_round_local_fit,887,0.9787900698963605,0.9782925134810273,0.9811320754716981,0.9731778425655977,0.9754529514903565,0.974314068884997,0.018867924528301886,0.024547048509643482,0.9975981788446998,0.9967326918580054
SisFall::SA22,SisFall,SA22,1,local_val,last_round_local_fit,959,0.9658264663111973,0.968982000210552,0.9488898198575618,0.9337676438653637,0.9890741805635422,0.9606255235967607,0.051110180142438205,0.010925819436457734,0.9970780485536834,0.9960790043238889
KFall::SA29,KFall,SA29,0,local_val,last_round_local_fit,537,0.9782962561041779,0.9780782085721537,0.9797882579403272,0.9739454094292804,0.9763681592039801,0.9751552795031055,0.02021174205967276,0.0236318407960199,0.9967486915758071,0.996013849402574
SisFall::SA21,SisFall,SA21,1,local_val,last_round_local_fit,907,0.9712849964106246,0.9720232288529782,0.967609676096761,0.9555680539932508,0.9764367816091954,0.9658897100625355,0.03239032390323903,0.023563218390804597,0.9967355190793288,0.9957339401575681
KFall::SA12,KFall,SA12,0,local_val,last_round_local_fit,380,0.9652509652509652,0.9635352637767919,0.9823113207547169,0.9780058651026393,0.9447592067988668,0.9610951008645533,0.01768867924528302,0.05524079320113314,0.9963069244748517,0.9955774929884544
KFall::SA37,KFall,SA37,0,local_val,last_round_local_fit,422,0.96494708994709,0.9646665091739508,0.9882352941176471,0.9873595505617978,0.9410977242302544,0.9636737491432488,0.011764705882352941,0.058902275769745646,0.9960084346098993,0.9953895451599326
KFall::SA33,KFall,SA33,0,local_val,last_round_local_fit,436,0.964685108887581,0.9658957453237328,0.958627648839556,0.9438356164383561,0.9731638418079096,0.9582753824756607,0.04137235116044399,0.026836158192090395,0.9966763014018825,0.9953644570146063
SisFall::SA08,SisFall,SA08,1,local_val,last_round_local_fit,1037,0.9740676710298839,0.975742428476936,0.9649272882805817,0.9536723163841808,0.9865575686732905,0.9698362539500144,0.03507271171941831,0.013442431326709527,0.9966527661050946,0.9950884922911363
SisFall::SA20,SisFall,SA20,1,local_val,last_round_local_fit,1190,0.9625668449197861,0.9646977761970148,0.9463344513655966,0.9355210132412205,0.9830611010284331,0.9587020648967551,0.05366554863440345,0.01693889897156685,0.9958847020894768,0.9949619989086184
SisFall::SA18,SisFall,SA18,1,local_val,last_round_local_fit,879,0.9710007130972189,0.9732977225092447,0.9632210607820364,0.943853427895981,0.9833743842364532,0.9632086851628469,0.03677893921796361,0.0166256157635468,0.996563119220214,0.994933995025245
SisFall::SA09,SisFall,SA09,1,local_val,last_round_local_fit,881,0.9755053507728895,0.9773326572008114,0.9667342799188641,0.9544697390338701,0.9879310344827587,0.9709121717029088,0.0332657200811359,0.01206896551724138,0.9965165186169593,0.9941654081258101
