round,metric,value
1,cluster_id,0.8731353953200209
1,num_examples,743.6984701901539
1,participating_clients,69.0
1,total_examples,41966.0
1,val_accuracy,0.8556273581688866
1,val_balanced_accuracy,0.8599819263862037
1,val_f1,0.7188563214701659
1,val_far,0.17879831281411945
1,val_miss_rate,0.10123783441347288
1,val_pr_auc,0.8329404697244414
1,val_precision,0.6644534999816836
1,val_recall,0.8008495696755517
1,val_roc_auc,0.9170785943246483
1,val_specificity,0.8212016871858805
2,cluster_id,0.8731353953200209
2,num_examples,743.6984701901539
2,participating_clients,69.0
2,total_examples,41966.0
2,val_accuracy,0.899274084513277
2,val_balanced_accuracy,0.9001207534966962
2,val_f1,0.7612451770303161
2,val_far,0.10879729368772287
2,val_miss_rate,0.09096119931888456
2,val_pr_auc,0.9018193847573506
2,val_precision,0.7297207674460207
2,val_recall,0.8111262047701396
2,val_roc_auc,0.9508191725089742
2,val_specificity,0.8912027063122773
3,cluster_id,0.8731353953200209
3,num_examples,743.6984701901539
3,participating_clients,69.0
3,total_examples,41966.0
3,val_accuracy,0.9208831759660913
3,val_balanced_accuracy,0.918177151906663
3,val_f1,0.7856654676981707
3,val_far,0.08002005020483226
3,val_miss_rate,0.08362564598184133
3,val_pr_auc,0.9086150500026957
3,val_precision,0.7647920791442617
3,val_recall,0.8184617581071831
3,val_roc_auc,0.9606697567318242
3,val_specificity,0.9199799497951676
4,cluster_id,0.8731353953200209
4,num_examples,743.6984701901539
4,participating_clients,69.0
4,total_examples,41966.0
4,val_accuracy,0.9273388922064763
4,val_balanced_accuracy,0.9254199903782648
4,val_f1,0.7933580062883432
4,val_far,0.07536007375715201
4,val_miss_rate,0.07379994548631841
4,val_pr_auc,0.9124698197312394
4,val_precision,0.7704209953992954
4,val_recall,0.8282874586027064
4,val_roc_auc,0.9640568109658312
4,val_specificity,0.9246399262428482
5,cluster_id,0.8731353953200209
5,num_examples,743.6984701901539
5,participating_clients,69.0
5,total_examples,41966.0
5,val_accuracy,0.9317886081216112
5,val_balanced_accuracy,0.929958489522372
5,val_f1,0.7985979731588941
5,val_far,0.07145639635999639
5,val_miss_rate,0.06862662459525973
5,val_pr_auc,0.9163321944439758
5,val_precision,0.7751084320770609
5,val_recall,0.8334607794937648
5,val_roc_auc,0.9667693975772315
5,val_specificity,0.9285436036400039
6,cluster_id,0.8731353953200209
6,num_examples,743.6984701901539
6,participating_clients,69.0
6,total_examples,41966.0
6,val_accuracy,0.9354121221358814
6,val_balanced_accuracy,0.9319388255549468
6,val_f1,0.8016192465782317
6,val_far,0.06663662177555872
6,val_miss_rate,0.0694857271145478
6,val_pr_auc,0.9180415802774284
6,val_precision,0.7806305381967529
6,val_recall,0.8326016769744762
6,val_roc_auc,0.9680515241346898
6,val_specificity,0.9333633782244412
7,cluster_id,0.8731353953200209
7,num_examples,743.6984701901539
7,participating_clients,69.0
7,total_examples,41966.0
7,val_accuracy,0.9377801175271302
7,val_balanced_accuracy,0.9346159297775519
7,val_f1,0.8043754884044769
7,val_far,0.06411135037851168
7,val_miss_rate,0.06665679006638507
7,val_pr_auc,0.9210703532832695
7,val_precision,0.783128103876415
7,val_recall,0.8354306140226393
7,val_roc_auc,0.969725211651544
7,val_specificity,0.9358886496214883
8,cluster_id,0.8731353953200209
8,num_examples,743.6984701901539
8,participating_clients,69.0
8,total_examples,41966.0
8,val_accuracy,0.9399622768507355
8,val_balanced_accuracy,0.9372169026680104
8,val_f1,0.8072451684904829
8,val_far,0.06265595676738363
8,val_miss_rate,0.06291023789659547
8,val_pr_auc,0.9212307842364225
8,val_precision,0.7851398627443242
8,val_recall,0.8391771661924289
8,val_roc_auc,0.9708067272157741
8,val_specificity,0.9373440432326162
9,cluster_id,0.8731353953200209
9,num_examples,743.6984701901539
9,participating_clients,69.0
9,total_examples,41966.0
9,val_accuracy,0.9406987053712594
9,val_balanced_accuracy,0.9381162811070912
9,val_f1,0.8085025309005236
9,val_far,0.06109565423285001
9,val_miss_rate,0.06267178355296785
9,val_pr_auc,0.9215618133675672
9,val_precision,0.7877435045754287
9,val_recall,0.8394156205360562
9,val_roc_auc,0.9713928202709304
9,val_specificity,0.9389043457671501
10,cluster_id,0.8731353953200209
10,num_examples,743.6984701901539
10,participating_clients,69.0
10,total_examples,41966.0
10,val_accuracy,0.9427178034342687
10,val_balanced_accuracy,0.939720579067881
