client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,far,miss_rate,roc_auc,pr_auc
KFall::SA37,KFall,SA37,1,local_val,last_round_local_fit,462,0.9959239130434783,0.9959214735893249,0.9960212201591512,0.9958217270194986,0.9958217270194986,0.9958217270194986,0.003978779840848806,0.004178272980501393,0.999578847816289,0.9995103484231685
KFall::SA19,KFall,SA19,1,local_val,last_round_local_fit,511,0.9913573970513472,0.9917666303162487,0.9857142857142858,0.9838709677419355,0.9978189749182116,0.9907958852192745,0.014285714285714285,0.0021810250817884407,0.9987744716207093,0.9983622657442329
KFall::SA12,KFall,SA12,1,local_val,last_round_local_fit,345,0.9729389553178099,0.9727750999012965,0.9745958429561201,0.9696132596685083,0.970954356846473,0.9702833448514168,0.025404157043879907,0.029045643153526972,0.99783906547967,0.9974885025463578
SisFall::SA20,SisFall,SA20,0,local_val,last_round_local_fit,1000,0.9793893129770992,0.9760983533928966,0.9935760171306209,0.9902849740932642,0.9586206896551724,0.9741956036954444,0.006423982869379015,0.041379310344827586,0.9978084619360554,0.9971179789212886
SisFall::SA10,SisFall,SA10,0,local_val,last_round_local_fit,879,0.9893035417161873,0.9898031892880506,0.9876113046844754,0.9805234327449787,0.9919950738916257,0.9862258953168044,0.012388695315524584,0.008004926108374385,0.998859657403752,0.9969475061396926
SisFall::SA17,SisFall,SA17,0,local_val,last_round_local_fit,900,0.9792069632495164,0.9783345668477652,0.9843683988170681,0.9789413773477519,0.9723007348784624,0.975609756097561,0.01563160118293198,0.027699265121537593,0.9972382650744896,0.9963274122019063
SisFall::SA18,SisFall,SA18,0,local_val,last_round_local_fit,895,0.98067287043665,0.9810013168738818,0.9786878395319683,0.9719626168224299,0.9833147942157954,0.9776057506220625,0.02131216046803176,0.01668520578420467,0.997387169753085,0.9961524440000354
KFall::SA18,KFall,SA18,1,local_val,last_round_local_fit,515,0.9913967611336032,0.9916474985623922,0.9864864864864865,0.9852786540483701,0.9968085106382979,0.9910100475938657,0.013513513513513514,0.0031914893617021275,0.998455085024234,0.9960459124716249
KFall::SA20,KFall,SA20,1,local_val,last_round_local_fit,450,0.9900874635568513,0.9901588888160626,0.9890350877192983,0.9875930521091811,0.9912826899128269,0.9894344313238036,0.010964912280701754,0.008717310087173101,0.9978937263769636,0.9958249975776099
SisFall::SA08,SisFall,SA08,0,local_val,last_round_local_fit,899,0.9811320754716981,0.9806260984906541,0.9830307813733228,0.9740963855421687,0.9782214156079855,0.9761545427105343,0.01696921862667719,0.021778584392014518,0.9974242617402718,0.9958065068862083
