model,generator,mixture,seed,run_dir,dev_accuracy,dev_balanced_accuracy,dev_specificity,dev_precision,dev_recall,dev_f1,dev_roc_auc,dev_pr_auc,dev_far,dev_miss_rate,dev_tn,dev_fp,dev_fn,dev_tp,test_accuracy,test_balanced_accuracy,test_specificity,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_far,test_miss_rate,test_tn,test_fp,test_fn,test_tp,local_accuracy,local_balanced_accuracy,local_specificity,local_precision,local_recall,local_f1,local_roc_auc,local_pr_auc,local_far,local_miss_rate
class_prototype,rcgan_lite,90_synthetic_10_original,1,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_01/run_20260821_063455,0.4662572300691828,0.3968022369972521,0.5712281422146078,0.1770350128026389,0.2223763317798963,0.1960225691030165,0.3739622351306043,0.2421794155437604,0.4287718577853924,0.7776236682201034,10380.929028466064,7792.070971533935,6082.572332817651,1739.427667182349,0.4902607644343978,0.4186908575517539,0.6082625396314781,0.2018288988505811,0.2291191754720298,0.2131026496870047,0.3819865391027084,0.2665739503325107,0.3917374603685219,0.77088082452797,10805.175754013577,6958.824245986424,6187.860378486017,1839.1396215139837,0.5533223422406488,0.4828186480975702,0.7138784527546734,0.2980688917285302,0.2442437710319677,0.2645952797745765,0.4813262639469584,0.3490735072655948,0.2861215472453263,0.7482411565595334
class_prototype,rcgan_lite,90_synthetic_10_original,2,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_02/run_20260821_090740,0.6857802737902576,0.5072478178565226,0.9556055796184232,0.2891871042725103,0.0588900560946218,0.0612777834895455,0.5804507594680395,0.3416178481430212,0.0443944203815767,0.9411099439053778,17366.220198405605,806.7798015943939,7361.361981227868,460.63801877213206,0.6721329059911957,0.5005457824794735,0.9550393125699348,0.0346302850972133,0.0460522523890126,0.0368630962746863,0.5451151091554697,0.3226643298910166,0.0449606874300654,0.9539477476109876,16965.318348492317,798.6816515076823,7657.338570073395,369.66142992660446,0.6500220795973964,0.5136903251939241,0.9632532053532344,0.0666436708902267,0.056222252354135,0.0493152976589388,0.4733404484647209,0.3336958157645458,0.0367467946467655,0.935872554965386
class_prototype,rcgan_lite,90_synthetic_10_original,3,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_03/run_20260821_112318,0.5231745099247203,0.5548565531212439,0.4752918045081986,0.3418860216314255,0.6344213017342898,0.4430636301043568,0.5950279204758638,0.3766679117696782,0.5247081954918015,0.3655786982657103,8637.477963327492,9535.522036672508,2859.556577834387,4962.443422165613,0.5887524818708874,0.6030738158498538,0.5651400041366437,0.3983208416969676,0.6410076275630641,0.4905018758026243,0.6265366084912471,0.4189360044269116,0.4348599958633561,0.3589923724369358,10039.14703348334,7724.852966516662,2881.631773551283,5145.368226448717,0.5180952419593674,0.5564935421917792,0.4304343500873817,0.3915548810149871,0.6754070314325966,0.4927125361450206,0.591897082938547,0.4347210193355576,0.5695656499126187,0.3174472657038233
class_prototype,rcgan_lite,90_synthetic_10_original,4,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_04/run_20260821_140430,0.3415721591884826,0.5061619266184764,0.0928191573843261,0.3069577802246125,0.9195046958526264,0.4547720174109445,0.5311569063128445,0.3241193948139875,0.907180842615674,0.0804953041473735,1686.8025471453593,16486.19745285464,629.634269040756,7192.3657309592445,0.337778305516285,0.4962263379875117,0.0765351389051041,0.3126406202520728,0.91591753706992,0.4611381689674646,0.5068927089358656,0.3352478587453925,0.923464861094896,0.0840824629300806,1359.5702075102697,16404.42979248973,674.9299299397576,7352.070070060242,0.3900408550037775,0.521760120146037,0.0878695679126292,0.3659368602075966,0.948972564634332,0.5204577660349762,0.5301335438395555,0.3900137333296797,0.912130432087371,0.0443493276205557
class_prototype,rcgan_lite,90_synthetic_10_original,5,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_05/run_20260821_154129,0.6763724990766471,0.6280484352393064,0.7494071483541426,0.4663970498113092,0.5066897221244707,0.4833338434354412,0.604063760057962,0.4163571471036545,0.2505928516458573,0.4933102778755294,13618.976107039834,4554.0238929601655,3858.67299354239,3963.32700645761,0.6455009534250279,0.580276966177256,0.7530398146015437,0.4260545110199091,0.4075141177529682,0.4133188054080919,0.6200321175970864,0.4288265249092943,0.2469601853984564,0.5924858822470315,13376.99926658182,4387.00073341818,4755.884176796923,3271.1158232030766,0.6494205566925985,0.6131734794231817,0.7303791403247802,0.4904187327660642,0.4881453449413067,0.4872985169688498,0.5980302195789539,0.4542923990230862,0.26962085967522,0.5040321814784163
class_prototype,rcgan_lite,90_synthetic_10_original,6,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_06/run_20260821_182025,0.6887631453204573,0.5055557911151906,0.9656538659452456,0.1918720281342897,0.0454577162851352,0.039057495173924,0.6547760694616351,0.4264587965222579,0.0343461340547543,0.9545422837148646,17548.827705822947,624.1722941770514,7466.429743217672,355.5702567823282,0.6799749766191252,0.5059553527789378,0.966891998405134,0.1505570853294671,0.045018707152742,0.0382970036227073,0.6352975163873595,0.4032226628708284,0.0331080015948659,0.954981292847258,17175.8694596688,588.1305403311992,7665.634837684939,361.3651623150608,0.6568650921451961,0.5175547445437433,0.9715559588480598,0.1919248816670848,0.0561392959292291,0.0533796393112796,0.6258155673199035,0.4408356584352468,0.0284440411519403,0.9364464697605728
class_prototype,rcgan_lite,90_synthetic_10_original,7,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_07/run_20260821_214810,0.5400452188045407,0.5117600153421756,0.582794105188971,0.3111413826750179,0.4407259254953801,0.3635449643879784,0.4929444636297846,0.2956729948044242,0.4172058948110288,0.5592740745046197,10591.117273599171,7581.882726400829,4374.641810775136,3447.358189224864,0.546855514884155,0.4949035531407421,0.6325119587404513,0.3019710492716023,0.3572951475410326,0.3256484677808487,0.4607405902062702,0.2901573279484162,0.3674880412595483,0.6427048524589678,11235.94243506538,6528.057564934619,5158.991850688131,2868.0081493118687,0.5345742474045797,0.5022633195683082,0.6070508142606151,0.345402064893318,0.389879607098145,0.3648900894401828,0.4669330310282583,0.3313170291861889,0.3929491857393851,0.6025241751239988
class_prototype,rcgan_lite,90_synthetic_10_original,8,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_08/run_20260822_001701,0.545078938003646,0.5649863385773606,0.5149918570863251,0.352323687214863,0.614980820068396,0.4463140759012174,0.5926107165919366,0.3738492643482687,0.4850081429136749,0.385019179931604,9358.947018829784,8814.052981170216,3011.620025425007,4810.379974574993,0.5540973485524053,0.5459130593505648,0.5675912972888076,0.3527803393998557,0.5242348214123218,0.4204897106386174,0.571961288305185,0.3494767287680567,0.4324087027111921,0.4757651785876782,10082.691805038385,7681.308194961618,3818.9670885232927,4208.032911476707,0.4931383171078682,0.5249149749279262,0.4195140080537179,0.3683955125677858,0.6220048243358596,0.4594617140783396,0.5279837327139368,0.3720964616611374,0.580485991946282,0.3696840581978658
class_prototype,rcgan_lite,90_synthetic_10_original,9,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_09/run_20260822_023724,0.4011652371915931,0.4906698096837478,0.2658923619073433,0.2965216753206035,0.7154472574601528,0.4169274424486412,0.4920389623731473,0.2852993282838874,0.7341076380926564,0.2845527425398472,4832.06189294215,13340.93810705785,2225.7715521466857,5596.228447853314,0.4258753956884282,0.4857625058104429,0.3271357771304722,0.3030468036710837,0.6443892344904133,0.4101994692429974,0.46242059998442,0.2816870092485907,0.6728642228695279,0.3556107655095866,5811.239944945711,11952.76005505429,2854.4876147454524,5172.512385254548,0.419039794333586,0.4955484706618585,0.2434829278867858,0.3503865097543436,0.7395578141435394,0.4705259058542479,0.4551884032521563,0.3197847890451574,0.7565170721132138,0.2523859865630692
class_prototype,rcgan_lite,90_synthetic_10_original,10,gen_syntdata/experiments_gans/full_data_full_results/class_prototype/rcgan_lite/90_synthetic_10_original/seed_10/run_20260822_043816,0.6851313805734727,0.6034200919033292,0.808625864193966,0.4774965940059235,0.3982143196126929,0.4290218444872986,0.643683652126917,0.4219158421852256,0.1913741358060343,0.6017856803873074,14695.15782999694,3477.8421700030603,4707.167591989516,3114.832408010484,0.6619930838658389,0.5517805073704766,0.843707441784761,0.4302657144026363,0.2598535729561924,0.3133009120729427,0.656437436649918,0.4093426754045955,0.156292558215239,0.7401464270438073,14987.618995864494,2776.3810041355064,5941.155369880643,2085.8446301193567,0.6607830926287914,0.5892047990821686,0.8218511454824623,0.5071728165351371,0.3483521795815004,0.4056101110926168,0.6083931053954121,0.4412292794093047,0.1781488545175379,0.6434415473181255
