client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate
KFall::SA38,KFall,SA38,2,local_val,last_round_local_fit,550,0.49233390119250425,0.5104052573932092,0.0208105147864184,0.48679678530424797,1.0,0.6548262548262548,0.8895545733534482,0.880839591385725,0.9791894852135816,0.0
KFall::SA27,KFall,SA27,2,local_val,last_round_local_fit,531,0.5094953879544222,0.5022026431718062,0.004405286343612335,0.5084284937466014,1.0,0.6741167988464312,0.8763180522509364,0.8705491021982488,0.9955947136563876,0.0
KFall::SA35,KFall,SA35,2,local_val,last_round_local_fit,486,0.46633277685030605,0.5,0.0,0.46633277685030605,1.0,0.6360531309297913,0.8725016860741475,0.8507265044716668,1.0,0.0
KFall::SA28,KFall,SA28,2,local_val,last_round_local_fit,554,0.5088018171493469,0.5005773672055427,0.0011547344110854503,0.5085227272727273,1.0,0.6741996233521658,0.8600294166978467,0.8460518152794568,0.9988452655889145,0.0
KFall::SA29,KFall,SA29,2,local_val,last_round_local_fit,513,0.4322442420996251,0.5,0.0,0.4322442420996251,1.0,0.6035901271503366,0.8835998690701643,0.842291869999989,1.0,0.0
KFall::SA36,KFall,SA36,2,local_val,last_round_local_fit,504,0.481411468178954,0.5030193236714976,0.006038647342995169,0.4797724399494311,1.0,0.6484408372490389,0.8708095447225883,0.8331011101745309,0.9939613526570048,0.0
SisFall::SA17,SisFall,SA17,1,local_val,last_round_local_fit,845,0.6261035552374135,0.6533664985688974,0.3386034255599473,0.5516522774635308,0.9681295715778474,0.702825715911246,0.8350458609079299,0.8272305976081618,0.6613965744400527,0.03187042842215256
SisFall::SA21,SisFall,SA21,1,local_val,last_round_local_fit,927,0.5792257754267853,0.6310270322688989,0.28410041841004186,0.5027608253414705,0.9779536461277558,0.6641074856046065,0.843996797472037,0.8172816257634983,0.7158995815899581,0.022046353872244205
SisFall::SA13,SisFall,SA13,1,local_val,last_round_local_fit,841,0.4452296819787986,0.5402709044794137,0.08232539992196644,0.41652195484991317,0.9982164090368609,0.5877822510064764,0.8822937828783618,0.8161603685229297,0.9176746000780336,0.0017835909631391202
KFall::SA18,KFall,SA18,2,local_val,last_round_local_fit,589,0.48580441640378547,0.5050197556675733,0.011133603238866396,0.4830687830687831,0.9989059080962801,0.6512125534950072,0.8639649536229058,0.8158203363946367,0.9888663967611336,0.0010940919037199124
KFall::SA12,KFall,SA12,2,local_val,last_round_local_fit,389,0.48220064724919093,0.5006242197253433,0.0012484394506866417,0.48186528497409326,1.0,0.6503496503496503,0.8333048071630892,0.8141428027595099,0.9987515605493134,0.0
KFall::SA22,KFall,SA22,2,local_val,last_round_local_fit,417,0.4336428181321682,0.5022453651333474,0.005758157389635317,0.43201754385964913,0.9987325728770595,0.6031381553769614,0.8520059892621433,0.8009632685419703,0.9942418426103646,0.0012674271229404308
KFall::SA19,KFall,SA19,2,local_val,last_round_local_fit,473,0.45236907730673315,0.5,0.0,0.45236907730673315,1.0,0.6229395604395604,0.8358391422311388,0.7942187125517531,1.0,0.0
SisFall::SA19,SisFall,SA19,1,local_val,last_round_local_fit,1091,0.6448060075093868,0.6716206724875131,0.35747232472324725,0.5638697557921102,0.9857690202517789,0.7173869747062338,0.81567702684416,0.7847961650526541,0.6425276752767528,0.014230979748221127
KFall::SA24,KFall,SA24,2,local_val,last_round_local_fit,417,0.44966814159292035,0.5,0.0,0.44966814159292035,1.0,0.6203739030904235,0.8365288929271202,0.7797943623372531,1.0,0.0
KFall::SA37,KFall,SA37,2,local_val,last_round_local_fit,357,0.4457831325301205,0.5022779043280182,0.004555808656036446,0.4443738080101716,1.0,0.6153169014084507,0.8378182629920388,0.7643918152224364,0.9954441913439636,0.0
KFall::SA30,KFall,SA30,2,local_val,last_round_local_fit,505,0.47041243275552896,0.5,0.0,0.47041243275552896,1.0,0.6398373983739838,0.8353291781517379,0.7607144351171572,1.0,0.0
SisFall::SA18,SisFall,SA18,1,local_val,last_round_local_fit,1057,0.6574832464631423,0.6944920233199259,0.4228920926168633,0.5599600266489008,0.9660919540229885,0.7089835512442008,0.8018508057024349,0.7585635397189636,0.5771079073831368,0.0339080459770115
KFall::SA15,KFall,SA15,2,local_val,last_round_local_fit,515,0.4552661381653454,0.5046827544028776,0.01440329218106996,0.45194508009153317,0.9949622166246851,0.6215578284815106,0.8009900643716764,0.7579389906129169,0.98559670781893,0.005037783375314861
SisFall::SA14,SisFall,SA14,1,local_val,last_round_local_fit,1463,0.6490889011595803,0.6407267407715882,0.2965478211658178,0.595114006514658,0.9849056603773585,0.7419289340101523,0.7478637250460295,0.7562697174522854,0.7034521788341822,0.01509433962264151
KFall::SA26,KFall,SA26,2,local_val,last_round_local_fit,482,0.4134078212290503,0.5004325259515571,0.0008650519031141869,0.41310975609756095,1.0,0.5846817691477886,0.8346670880203613,0.7497608122660258,0.9991349480968859,0.0
SisFall::SA22,SisFall,SA22,1,local_val,last_round_local_fit,866,0.5878170182507704,0.6504599935227362,0.34134804887662595,0.491324200913242,0.9595719381688466,0.6498892691765653,0.8036618099687057,0.7490861063623787,0.658651951123374,0.04042806183115339
KFall::SA20,KFall,SA20,2,local_val,last_round_local_fit,437,0.44039351851851855,0.5051177072671443,0.01023541453428864,0.4371362048894063,1.0,0.608343458890239,0.838153700218201,0.7382398312313403,0.9897645854657113,0.0
