round,metric,value
1,cluster_id,0.854324107598474
1,num_examples,748.379437708065
1,participating_clients,69.0
1,total_examples,41153.0
1,val_accuracy,0.829130709789314
1,val_balanced_accuracy,0.8460458653998406
1,val_f1,0.7035228921003794
1,val_far,0.2182704037906548
1,val_miss_rate,0.08963786540966394
1,val_pr_auc,0.8386497710777634
1,val_precision,0.6392685156196578
1,val_recall,0.8174648974508806
1,val_roc_auc,0.9089051635641623
1,val_specificity,0.7817295962093455
2,cluster_id,0.854324107598474
2,num_examples,748.379437708065
2,participating_clients,69.0
2,total_examples,41153.0
2,val_accuracy,0.8972872474365389
2,val_balanced_accuracy,0.9028084609735267
2,val_f1,0.7666866069745963
2,val_far,0.11868276266021982
2,val_miss_rate,0.0757003153927264
2,val_pr_auc,0.895465174368765
2,val_precision,0.7253022725484328
2,val_recall,0.8314024474678183
2,val_roc_auc,0.952317056356685
2,val_specificity,0.8813172373397803
3,cluster_id,0.854324107598474
3,num_examples,748.379437708065
3,participating_clients,69.0
3,total_examples,41153.0
3,val_accuracy,0.9184376966158301
3,val_balanced_accuracy,0.9200082749820848
3,val_f1,0.7892572454656633
3,val_far,0.08798094875755454
3,val_miss_rate,0.07200250127827625
3,val_pr_auc,0.9048306103152268
3,val_precision,0.7595936925216041
3,val_recall,0.8351002615822686
3,val_roc_auc,0.9615917035297278
3,val_specificity,0.9120190512424454
4,cluster_id,0.854324107598474
4,num_examples,748.379437708065
4,participating_clients,69.0
4,total_examples,41153.0
4,val_accuracy,0.9236352452190933
4,val_balanced_accuracy,0.9262768082368174
4,val_f1,0.7952703442526818
4,val_far,0.08389614826727483
4,val_miss_rate,0.0635502352590904
4,val_pr_auc,0.9088810434074436
4,val_precision,0.7645204701823027
4,val_recall,0.8435525276014544
4,val_roc_auc,0.9652844932224997
4,val_specificity,0.916103851732725
5,cluster_id,0.854324107598474
5,num_examples,748.379437708065
5,participating_clients,69.0
5,total_examples,41153.0
5,val_accuracy,0.9287339546165013
5,val_balanced_accuracy,0.9323051938568726
5,val_f1,0.8010834337174322
5,val_far,0.07708144616859015
5,val_miss_rate,0.05830816611766423
5,val_pr_auc,0.9115762706928303
5,val_precision,0.7727376344780195
5,val_recall,0.8487945967428806
5,val_roc_auc,0.9682172055343241
5,val_specificity,0.9229185538314097
6,cluster_id,0.854324107598474
6,num_examples,748.379437708065
6,participating_clients,69.0
6,total_examples,41153.0
6,val_accuracy,0.9334115375115171
6,val_balanced_accuracy,0.9351404155600405
6,val_f1,0.8060178356896105
6,val_far,0.07056870133546364
6,val_miss_rate,0.059150467544455965
6,val_pr_auc,0.9165491329389895
6,val_precision,0.7808180120751099
6,val_recall,0.8479522953160887
6,val_roc_auc,0.9703977645835267
6,val_specificity,0.9294312986645366
7,cluster_id,0.854324107598474
7,num_examples,748.379437708065
7,participating_clients,69.0
7,total_examples,41153.0
7,val_accuracy,0.935383629210083
7,val_balanced_accuracy,0.9378669553166172
7,val_f1,0.808164337421249
7,val_far,0.06946063680523817
7,val_miss_rate,0.054805452561527565
7,val_pr_auc,0.9165076494863512
7,val_precision,0.7820158212384895
7,val_recall,0.8522973102990173
7,val_roc_auc,0.9713721868928152
