client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate
KFall::SA19,KFall,SA19,0,local_val,last_round_local_fit,529,0.9876859928168291,0.9878567888737755,0.9831683168316832,0.982086406743941,0.9925452609158679,0.9872881355932204,0.9992903763219773,0.9992400300467746,0.016831683168316833,0.007454739084132056
KFall::SA18,KFall,SA18,0,local_val,last_round_local_fit,509,0.9858728557013118,0.9862895092091175,0.9829596412556054,0.9783352337514253,0.9896193771626297,0.9839449541284404,0.9986635012749494,0.9981355400947214,0.017040358744394617,0.010380622837370242
KFall::SA35,KFall,SA35,0,local_val,last_round_local_fit,451,0.986353711790393,0.9866366662483341,0.9813471502590674,0.979498861047836,0.9919261822376009,0.9856733524355301,0.9980147133525766,0.9976063377136506,0.01865284974093264,0.008073817762399077
KFall::SA38,KFall,SA38,0,local_val,last_round_local_fit,558,0.9794637763833428,0.9795753805109607,0.9755826859045506,0.9744186046511628,0.9835680751173709,0.9789719626168224,0.9976317393819074,0.9974992146799632,0.0244173140954495,0.01643192488262911
KFall::SA24,KFall,SA24,0,local_val,last_round_local_fit,489,0.9792626728110599,0.9788543042730842,0.983991462113127,0.9810844892812106,0.9737171464330413,0.9773869346733668,0.9977907282715989,0.997357792223531,0.016008537886873,0.026282853566958697
KFall::SA20,KFall,SA20,0,local_val,last_round_local_fit,433,0.9896073903002309,0.9895503177540022,0.9903225806451613,0.9887780548628429,0.9887780548628429,0.9887780548628429,0.9979513581637305,0.997290908186261,0.00967741935483871,0.011221945137157107
KFall::SA37,KFall,SA37,0,local_val,last_round_local_fit,432,0.9826897470039947,0.9822564875218387,0.9887640449438202,0.987012987012987,0.9757489300998573,0.9813486370157819,0.9977524528006183,0.9971993222459521,0.011235955056179775,0.024251069900142655
SisFall::SA17,SisFall,SA17,1,local_val,last_round_local_fit,907,0.9762654395737467,0.9758203307304071,0.9786521557136877,0.970756880733945,0.9729885057471265,0.9718714121699197,0.9973383756008141,0.9966316809332794,0.021347844286312263,0.027011494252873563
KFall::SA28,KFall,SA28,0,local_val,last_round_local_fit,438,0.9712306872669153,0.9707816169452841,0.9788092835519677,0.9759725400457666,0.9627539503386005,0.9693181818181819,0.9966208289959523,0.9962294370106636,0.02119071644803229,0.03724604966139955
SisFall::SA18,SisFall,SA18,1,local_val,last_round_local_fit,959,0.9738308698812697,0.9756639170988448,0.9639715123586091,0.9523281596452328,0.9873563218390805,0.9695259593679458,0.9964277287414106,0.995261180584692,0.03602848764139087,0.01264367816091954
KFall::SA23,KFall,SA23,0,local_val,last_round_local_fit,449,0.9736995908825249,0.97384441830152,0.9724284199363733,0.9664516129032258,0.9752604166666666,0.9708360337005832,0.9961365544361965,0.9952329195263305,0.027571580063626724,0.024739583333333332
KFall::SA12,KFall,SA12,0,local_val,last_round_local_fit,446,0.9643817204301075,0.9644194012270293,0.9784366576819407,0.9779310344827586,0.9504021447721179,0.9639700883752549,0.994775369806985,0.9950240745262906,0.0215633423180593,0.049597855227882036
SisFall::SA20,SisFall,SA20,1,local_val,last_round_local_fit,858,0.9715127701375246,0.971505330872293,0.9715481171548117,0.9600470035252644,0.9714625445897741,0.9657210401891253,0.9960216219981195,0.9948582529547148,0.028451882845188285,0.028537455410225922
KFall::SA33,KFall,SA33,0,local_val,last_round_local_fit,378,0.9789413773477519,0.9785834200321574,0.981651376146789,0.9767741935483871,0.9755154639175257,0.9761444229529336,0.9957767163739923,0.994379177279775,0.01834862385321101,0.024484536082474227
SisFall::SA09,SisFall,SA09,1,local_val,last_round_local_fit,899,0.9722951994267972,0.9751131734842917,0.9617205998421468,0.9439630271519353,0.9885057471264368,0.9657210401891253,0.9963752494209422,0.9939838527095054,0.038279400157853194,0.011494252873563218
SisFall::SA08,SisFall,SA08,1,local_val,last_round_local_fit,881,0.9552913198573127,0.9590770791075051,0.9371196754563894,0.9167561761546724,0.9810344827586207,0.9478067740144365,0.9950691287216432,0.9933664007716818,0.06288032454361055,0.01896551724137931
KFall::SA30,KFall,SA30,0,local_val,last_round_local_fit,435,0.9862306368330465,0.9862068002383435,0.986444212721585,0.9834605597964376,0.985969387755102,0.9847133757961783,0.997443659424145,0.9928494074276507,0.013555787278415016,0.01403061224489796
SisFall::SA21,SisFall,SA21,1,local_val,last_round_local_fit,1011,0.9607361963190184,0.9605085932470399,0.9619289340101523,0.9480069324090121,0.9590882524839275,0.9535153980244044,0.9940939041792878,0.9925635553280676,0.03807106598984772,0.040911747516072475
SisFall::SA10,SisFall,SA10,1,local_val,last_round_local_fit,899,0.9670408406973967,0.9679327868155816,0.9636937647987371,0.9458505002942907,0.9721718088324259,0.9588305489260143,0.9946572947896509,0.9924042070419954,0.036306235201262825,0.027828191167574106
SisFall::SA19,SisFall,SA19,1,local_val,last_round_local_fit,895,0.9646862324027679,0.967071296658264,0.9502716255745925,0.9369703389830508,0.9838709677419355,0.9598480737927293,0.9946971771114024,0.9922642985100907,0.04972837442540744,0.016129032258064516
SisFall::SA23,SisFall,SA23,1,local_val,last_round_local_fit,879,0.9453292132160684,0.9531919580279546,0.9186991869918699,0.8842337375964718,0.9876847290640394,0.9331006399069226,0.9949601791936287,0.9919647462887585,0.08130081300813008,0.012315270935960592
SisFall::SA22,SisFall,SA22,1,local_val,last_round_local_fit,875,0.9608076009501187,0.9648112221641634,0.9398034398034398,0.922509225092251,0.9898190045248869,0.9549795361527967,0.9941722625546154,0.9913277493280493,0.060196560196560195,0.010180995475113122
KFall::SA08,KFall,SA08,0,local_val,last_round_local_fit,463,0.9794483504597079,0.9801043753925291,0.9774501300954033,0.9633802816901409,0.9827586206896551,0.972972972972973,0.9966479249533949,0.9907419010228764,0.022549869904596703,0.017241379310344827
KFall::SA10,KFall,SA10,0,local_val,last_round_local_fit,508,0.9607629427792915,0.963155288134591,0.9505041246562786,0.9307692307692308,0.9758064516129032,0.952755905511811,0.9937871440820792,0.9907165829087715,0.04949587534372136,0.024193548387096774
KFall::SA14,KFall,SA14,0,local_val,last_round_local_fit,506,0.9634349030470915,0.9644551034697768,0.9592969472710453,0.9410187667560321,0.9696132596685083,0.9551020408163265,0.9938260562912383,0.9901717862134745,0.04070305272895467,0.03038674033149171
KFall::SA13,KFall,SA13,0,local_val,last_round_local_fit,560,0.9675675675675676,0.9679506839592433,0.9627391742195368,0.9575200918484501,0.9731621936989499,0.9652777777777778,0.9936028277287571,0.9899771480937108,0.03726082578046324,0.026837806301050177
KFall::SA36,KFall,SA36,0,local_val,last_round_local_fit,416,0.9814925373134329,0.9822974644403216,0.9696969696969697,0.966542750929368,0.9948979591836735,0.9805153991200503,0.9935293982913029,0.9898549068927542,0.030303030303030304,0.00510204081632653
SisFall::SA07,SisFall,SA07,1,local_val,last_round_local_fit,1119,0.9558860599949585,0.9607808953591601,0.9375260308204915,0.9112950916617386,0.9840357598978289,0.9462695732268959,0.993000202661407,0.9889560821340851,0.06247396917950854,0.015964240102171137
KFall::SA27,KFall,SA27,0,local_val,last_round_local_fit,459,0.9566579634464752,0.9577936222598227,0.9455066921606119,0.9366666666666666,0.9700805523590333,0.9530808366308648,0.9913088823222665,0.9879793274592514,0.05449330783938815,0.02991944764096663
SisFall::SA13,SisFall,SA13,1,local_val,last_round_local_fit,1083,0.9650262303272545,0.9625593632701988,0.9814405656208572,0.9750593824228029,0.9436781609195403,0.9591121495327103,0.9901176345101863,0.9873407125962791,0.01855943437914273,0.05632183908045977
SisFall::SA06,SisFall,SA06,1,local_val,last_round_local_fit,1215,0.946267114440713,0.9465335417744487,0.9417808219178082,0.9359181475498115,0.9512862616310892,0.9435396308360477,0.9871282791182919,0.9872581093012734,0.05821917808219178,0.04871373836891078
SisFall::SA05,SisFall,SA05,1,local_val,last_round_local_fit,881,0.9605231866825208,0.9627789046653144,0.9496957403651115,0.9319429198682766,0.9758620689655172,0.9533969679955081,0.9922736704669978,0.9869001505491304,0.05030425963488844,0.02413793103448276
KFall::SA22,KFall,SA22,0,local_val,last_round_local_fit,405,0.9788388497015735,0.9785184655365615,0.9814271749755621,0.9768009768009768,0.975609756097561,0.9762050030506406,0.9952435448108147,0.9848344387275536,0.01857282502443793,0.024390243902439025
SisFall::SA14,SisFall,SA14,1,local_val,last_round_local_fit,1057,0.9528301886792453,0.9557337376974309,0.9344692005242464,0.9188750676041103,0.9769982748706153,0.9470457079152731,0.9895640600305835,0.9835825799630231,0.0655307994757536,0.023001725129384705
SisFall::SA04,SisFall,SA04,1,local_val,last_round_local_fit,1037,0.9404791306495431,0.937410225887042,0.9572284003421728,0.9401197604790419,0.9175920514319111,0.9287193138124815,0.9872990097287266,0.9829207213777625,0.0427715996578272,0.08240794856808883
KFall::SA09,KFall,SA09,0,local_val,last_round_local_fit,429,0.9582392776523702,0.9590045606924982,0.9554730983302412,0.9329608938547486,0.962536023054755,0.9475177304964539,0.989981714456807,0.9805208051384376,0.04452690166975881,0.037463976945244955
