model,generator,mixture,runs,dev_accuracy_mean,dev_accuracy_std,dev_balanced_accuracy_mean,dev_balanced_accuracy_std,dev_f1_mean,dev_f1_std,dev_far_mean,dev_far_std,dev_fn_mean,dev_fn_std,dev_fp_mean,dev_fp_std,dev_miss_rate_mean,dev_miss_rate_std,dev_pr_auc_mean,dev_pr_auc_std,dev_precision_mean,dev_precision_std,dev_recall_mean,dev_recall_std,dev_roc_auc_mean,dev_roc_auc_std,dev_round_mean,dev_round_std,dev_specificity_mean,dev_specificity_std,dev_tn_mean,dev_tn_std,dev_tp_mean,dev_tp_std,local_accuracy_mean,local_accuracy_std,local_balanced_accuracy_mean,local_balanced_accuracy_std,local_cluster_id_mean,local_cluster_id_std,local_f1_mean,local_f1_std,local_far_mean,local_far_std,local_miss_rate_mean,local_miss_rate_std,local_pr_auc_mean,local_pr_auc_std,local_precision_mean,local_precision_std,local_recall_mean,local_recall_std,local_roc_auc_mean,local_roc_auc_std,local_specificity_mean,local_specificity_std,local_train_examples_mean,local_train_examples_std,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_mean,test_f1_std,test_far_mean,test_far_std,test_fn_mean,test_fn_std,test_fp_mean,test_fp_std,test_miss_rate_mean,test_miss_rate_std,test_pr_auc_mean,test_pr_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_roc_auc_mean,test_roc_auc_std,test_round_mean,test_round_std,test_specificity_mean,test_specificity_std,test_tn_mean,test_tn_std,test_tp_mean,test_tp_std,selection_score
fedavg,smote,25_synthetic_75_original,1,0.7238315060588575,0.0,0.5630930115782707,0.0,0.2578310761914608,0.0,0.0332361195179662,0.0,6575.0,0.0,604.0,0.0,0.8405778573254922,0.0,0.550600771712849,0.0,0.6736898973527823,0.0,0.1594221426745078,0.0,0.7360804533793879,0.0,1.0,0.0,0.9667638804820338,0.0,17569.0,0.0,1247.0,0.0,0.7431205181951916,0.0,0.6575218408663175,0.0,0.0434782608695652,0.0,0.300176782926349,0.0,0.0516839114697605,0.0,0.6332724067976043,0.0,0.6138208792317135,0.0,0.6103470293962762,0.0,0.2218000569705115,0.0,0.7115523626478842,0.0,0.9483160885302396,0.0,846.0144927536232,0.0,0.7127680198518863,0.0,0.5561068494147496,0.0,0.2342360967541864,0.0,0.028934924566539,0.0,6894.0,0.0,514.0,0.0,0.8588513766039616,0.0,0.6061295029388412,0.0,0.6879174256223437,0.0,0.1411486233960383,0.0,0.7648572502447338,0.0,1.0,0.0,0.9710650754334608,0.0,17250.0,0.0,1133.0,0.0,0.6854933765917874
fedavg,smote,90_synthetic_10_original,1,0.6999807655318331,0.0,0.5055844209217742,0.0,0.0337009044728038,0.0,0.0062180157376327,0.0,7686.0,0.0,113.0,0.0,0.9826131424188188,0.0,0.5563914466968615,0.0,0.5461847389558233,0.0,0.0173868575811812,0.0,0.7256149323830905,0.0,1.0,0.0,0.9937819842623672,0.0,18060.0,0.0,136.0,0.0,0.7306486217416566,0.0,0.6520835301330283,0.0,0.0434782608695652,0.0,0.2776286917675565,0.0,0.0445473226220193,0.0,0.6512856171119241,0.0,0.6253347518729018,0.0,0.6374608545475569,0.0,0.2037868466561918,0.0,0.7032987360819193,0.0,0.9554526773779806,0.0,7376.927536231884,0.0,0.6924120817339382,0.0,0.5081086738135846,0.0,0.0387737792317945,0.0,0.0037153794190497,0.0,7867.0,0.0,66.0,0.0,0.980067272953781,0.0,0.6052069140783536,0.0,0.7079646017699115,0.0,0.019932727046219,0.0,0.7409672957798055,0.0,1.0,0.0,0.9962846205809502,0.0,17698.0,0.0,160.0,0.0,0.6730871049290795
fedavg,smote,70_synthetic_30_original,1,0.7660319292171571,0.0,0.6694426242521537,0.0,0.5233542319749216,0.0,0.0879876740219006,0.0,4483.0,0.0,1599.0,0.0,0.5731270774737919,0.0,0.5226362158437095,0.0,0.6761846901579587,0.0,0.4268729225262081,0.0,0.7240106251455249,0.0,1.0,0.0,0.9120123259780992,0.0,16574.0,0.0,3339.0,0.0,0.7641702790349524,0.0,0.7097631422443444,0.0,0.0434782608695652,0.0,0.4501509546219545,0.0,0.1209386994532203,0.0,0.4595350160580908,0.0,0.6336000053607591,0.0,0.5658799207479653,0.0,0.3955374477100252,0.0,0.7210958929834275,0.0,0.8790613005467797,0.0,2350.913043478261,0.0,0.7606529409483929,0.0,0.6592565097861145,0.0,0.5039775010044194,0.0,0.0721684305336635,0.0,4891.0,0.0,1282.0,0.0,0.6093185498941074,0.0,0.5719825974357882,0.0,0.7098234495246718,0.0,0.3906814501058926,0.0,0.7460670411870184,0.0,1.0,0.0,0.9278315694663364,0.0,16482.0,0.0,3136.0,0.0,0.6590248193114032
fedavg,smote,50_synthetic_50_original,1,0.4508559338334295,0.0,0.5628645333411149,0.0,0.4805501983188385,0.0,0.7184284377923292,0.0,1219.0,0.0,13056.0,0.0,0.155842495525441,0.0,0.5300586052787887,0.0,0.3358766976957119,0.0,0.844157504474559,0.0,0.7071342769230804,0.0,1.0,0.0,0.2815715622076707,0.0,5117.0,0.0,6603.0,0.0,0.5525732369134702,0.0,0.634177032860763,0.0,0.0434782608695652,0.0,0.4693842504924359,0.0,0.6084720089394624,0.0,0.1101442073742838,0.0,0.6342326826389203,0.0,0.3880454466512447,0.0,0.7449282563938321,0.0,0.7126866805256111,0.0,0.3915279910605376,0.0,1349.8260869565215,0.0,0.4887751541235314,0.0,0.5819718356816853,0.0,0.502283794496244,0.0,0.6648840351272236,0.0,1374.0,0.0,11811.0,0.0,0.1711722935094057,0.0,0.5828420340569076,0.0,0.3603227902946274,0.0,0.8288277064905942,0.0,0.7246396190946077,0.0,1.0,0.0,0.3351159648727764,0.0,5953.0,0.0,6653.0,0.0,0.6537408265757576
soft_labels,smote,70_synthetic_30_original,1,0.7096801884801203,0.0,0.662510938476376,0.0,0.5248461824552401,0.0,0.2190304919315716,0.0,3566.422370586821,0.0,3980.441129872452,0.0,0.4559476311156765,0.0,0.472172444770116,0.0,0.5389334631753723,0.0,0.5440523688843235,0.0,0.6937188618901101,0.0,,0.0,0.7809695080684284,0.0,14192.558870127548,0.0,4255.577629413179,0.0,0.5980704469918066,0.0,0.7081080111982447,0.0,,0.0,0.6704418025026287,0.0,0.1699107533336724,0.0,0.4120044287208255,0.0,0.8991792847010038,0.0,0.8904737857492279,0.0,0.5644277931109635,0.0,0.7551135813243799,0.0,0.8300892466663274,0.0,,0.0,0.7283372503129713,0.0,0.6880899724212742,0.0,0.566323278182132,0.0,0.2053045490838336,0.0,3359.423967252933,0.0,3647.0300099252217,0.0,0.4185155060736182,0.0,0.5512111126137398,0.0,0.5865586658505249,0.0,0.5814844939263819,0.0,0.733909753487188,0.0,,0.0,0.7946954509161663,0.0,14116.969990074778,0.0,4667.576032747067,0.0,0.642560433050464
class_prototype,smote,70_synthetic_30_original,1,0.6974071298263947,0.0,0.655384439944362,0.0,0.5164404277299927,0.0,0.2390818122550936,0.0,3521.067886051056,0.0,4344.833774111816,0.0,0.4501493078561819,0.0,0.4593512990858064,0.0,0.5184740233776507,0.0,0.549850692143818,0.0,0.6780794562990367,0.0,,0.0,0.7609181877449065,0.0,13828.166225888184,0.0,4300.932113948944,0.0,0.5999277612152497,0.0,0.708668206955324,0.0,,0.0,0.6715481604288505,0.0,0.1779302552818426,0.0,0.4029000606041085,0.0,0.9003552018878644,0.0,0.8885095912336878,0.0,0.5735321612276809,0.0,0.74639939804003,0.0,0.8220697447181573,0.0,,0.0,0.7212477655525228,0.0,0.6844926400103322,0.0,0.5619708243308225,0.0,0.2181517635165607,0.0,3314.0509515266963,0.0,3875.2479271081847,0.0,0.4128629564627751,0.0,0.5485109513500963,0.0,0.573606960573665,0.0,0.5871370435372247,0.0,0.7208369401883599,0.0,,0.0,0.7818482364834393,0.0,13888.752072891815,0.0,4712.949048473303,0.0,0.6346739457692281
soft_labels,smote,50_synthetic_50_original,1,0.6051953864321707,0.0,0.6248182526505944,0.0,0.4851967343335072,0.0,0.424461663043341,0.0,2549.204127209088,0.0,7713.741802486633,0.0,0.3259018316554702,0.0,0.4516641039403286,0.0,0.4261238818270845,0.0,0.67409816834453,0.0,0.6866440299145451,0.0,,0.0,0.5755383369566589,0.0,10459.258197513367,0.0,5272.795872790913,0.0,0.7537832573934282,0.0,0.7393575982464726,0.0,,0.0,0.7194694443397245,0.0,0.2568614720632086,0.0,0.2631288613953282,0.0,0.8266653233465401,0.0,0.8146693321200723,0.0,0.6958245196092024,0.0,0.7597025341014131,0.0,0.7431385279367917,0.0,,0.0,0.6076969625122619,0.0,0.6309981388891582,0.0,0.50096166118001,0.0,0.4307211421970626,0.0,2466.5572698576307,0.0,7651.330369988619,0.0,0.3072825800246208,0.0,0.5225131332028583,0.0,0.4471654225313002,0.0,0.6927174199753793,0.0,0.7136903113862811,0.0,,0.0,0.5692788578029374,0.0,10112.669630011382,0.0,5560.442730142369,0.0,0.6181017222945697
soft_labels,smote,25_synthetic_75_original,1,0.646419937947217,0.0,0.6239966695668775,0.0,0.4727596840972617,0.0,0.3196906204005732,0.0,3381.576068522484,0.0,5809.737644539615,0.0,0.4323160404656717,0.0,0.4744290732679611,0.0,0.4706227798569189,0.0,0.5676839595343285,0.0,0.6744404684215078,0.0,,0.0,0.6803093795994268,0.0,12363.262355460383,0.0,4440.423931477516,0.0,0.6426489944849477,0.0,0.6810940616288148,0.0,,0.0,0.5738029237630127,0.0,0.2848876852247594,0.0,0.3516491711550153,0.0,0.7206152228357895,0.0,0.6786963955102118,0.0,0.5828604648192885,0.0,0.6953455464505123,0.0,0.7151123147752406,0.0,,0.0,0.6565520867503785,0.0,0.6378425570710001,0.0,0.4985728992040738,0.0,0.3126003432103135,0.0,3304.8326338329766,0.0,5553.032496788009,0.0,0.4117145426476861,0.0,0.5367081116683479,0.0,0.499151749022941,0.0,0.588285457352314,0.0,0.6990783019402738,0.0,,0.0,0.6873996567896866,0.0,12210.967503211992,0.0,4722.167366167024,0.0,0.6178932068043108
class_prototype,smote,50_synthetic_50_original,1,0.6056102849260845,0.0,0.6260644999865778,0.0,0.4936269155028688,0.0,0.4253032249189893,0.0,2523.125136893642,0.0,7729.03550645279,0.0,0.3225677751078549,0.0,0.4399557463417365,0.0,0.4178726274535734,0.0,0.6774322248921452,0.0,0.6759631631755391,0.0,,0.0,0.5746967750810107,0.0,10443.96449354721,0.0,5298.874863106358,0.0,0.7203841894941327,0.0,0.7373534852492055,0.0,,0.0,0.7159714010280249,0.0,0.2667666880022519,0.0,0.2574258564966476,0.0,0.8254783817635256,0.0,0.7936094356667394,0.0,0.7015275245078832,0.0,0.7594450818472434,0.0,0.7332333119977479,0.0,,0.0,0.6092680075098826,0.0,0.6366774179205649,0.0,0.5158350273609452,0.0,0.4359235992204337,0.0,2333.622001760828,0.0,7743.746816551783,0.0,0.2907215649384362,0.0,0.5180228974858917,0.0,0.4352205852393797,0.0,0.7092784350615639,0.0,0.7039972278422,0.0,,0.0,0.5640764007795661,0.0,10020.253183448216,0.0,5693.377998239172,0.0,0.6110100626640458
class_prototype,smote,25_synthetic_75_original,1,0.6525108566010677,0.0,0.6238433511015209,0.0,0.4703465739147993,0.0,0.3041624642341258,0.0,3505.4358201284795,0.0,5527.544462526766,0.0,0.4481508335628331,0.0,0.4746813689053492,0.0,0.4773421409635714,0.0,0.551849166437167,0.0,0.6664695571784318,0.0,,0.0,0.6958375357658743,0.0,12645.455537473234,0.0,4316.5641798715205,0.0,0.6505986790048427,0.0,0.6921057997780562,0.0,,0.0,0.5825398314106001,0.0,0.253830605247268,0.0,0.3576730136293293,0.0,0.718119444216584,0.0,0.6920704330835724,0.0,0.5768366223449747,0.0,0.6808193110208202,0.0,0.7461693947527324,0.0,,0.0,0.661594310449913,0.0,0.6378860202770021,0.0,0.4957623517352591,0.0,0.2993163508999989,0.0,3410.765481798715,0.0,5317.05565738758,0.0,0.4249116085459967,0.0,0.5304190657556074,0.0,0.5061160598484944,0.0,0.5750883914540033,0.0,0.6893884797717019,0.0,,0.0,0.7006836491000011,0.0,12446.94434261242,0.0,4616.234518201285,0.0,0.6099037727636547
