client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,far,miss_rate,roc_auc,pr_auc
KFall::SA22,KFall,SA22,1,local_val,last_round_local_fit,534,0.9883313885647608,0.9880923108867178,0.9922737306843267,0.9912718204488778,0.9839108910891089,0.9875776397515528,0.00772626931567329,0.01608910891089109,0.9992391209319608,0.9992068739900128
SisFall::SA06,SisFall,SA06,0,local_val,last_round_local_fit,1037,0.979007162262287,0.9771199439644549,0.9893071000855432,0.9850835322195705,0.9649327878433664,0.9749040448774727,0.0106928999144568,0.03506721215663355,0.9974434532454669,0.9966256190426899
SisFall::SA10,SisFall,SA10,0,local_val,last_round_local_fit,881,0.9881093935790726,0.9874070317782285,0.9914807302231238,0.9878752886836027,0.9833333333333333,0.9855990783410138,0.008519269776876268,0.016666666666666666,0.9985664824788416,0.9966062634979154
SisFall::SA20,SisFall,SA20,0,local_val,last_round_local_fit,930,0.97675,0.9768076121434585,0.9764089121887287,0.9687137891077636,0.9772063120981882,0.972941518766366,0.023591087811271297,0.022793687901811806,0.9974604740635657,0.9965838471288619
SisFall::SA17,SisFall,SA17,0,local_val,last_round_local_fit,1063,0.9755852001006796,0.9755690928981402,0.9756852343059239,0.9680974477958236,0.9754529514903565,0.9717612809315866,0.02431476569407604,0.024547048509643482,0.9971441357503149,0.9963003059906137
SisFall::SA21,SisFall,SA21,0,local_val,last_round_local_fit,895,0.9716058219995228,0.969327715663083,0.985374007521939,0.9799885648942253,0.9532814238042269,0.9664505215675219,0.014625992478061012,0.04671857619577308,0.9965323405724985,0.9958128467172224
KFall::SA24,KFall,SA24,1,local_val,last_round_local_fit,433,0.9575892857142857,0.9622752846660323,0.9324975891996142,0.9145299145299145,0.9920529801324504,0.951715374841169,0.06750241080038573,0.007947019867549669,0.9971542976109128,0.9957618227528195
SisFall::SA19,SisFall,SA19,0,local_val,last_round_local_fit,907,0.9791816223977028,0.9794471306782033,0.977859778597786,0.969335604770017,0.9810344827586207,0.9751499571550986,0.02214022140221402,0.01896551724137931,0.9970503268251073,0.9955776755861946
KFall::SA38,KFall,SA38,1,local_val,last_round_local_fit,497,0.958103638368247,0.9585702769641548,0.9283387622149837,0.9304531085353003,0.9888017917133258,0.9587404994571118,0.07166123778501629,0.011198208286674132,0.9960240889145033,0.9955504956326854
SisFall::SA22,SisFall,SA22,0,local_val,last_round_local_fit,880,0.9655172413793104,0.960446247464503,0.9898580121703854,0.9848024316109423,0.9310344827586207,0.9571639586410635,0.010141987829614604,0.06896551724137931,0.9966307616982584,0.9952398454604114
SisFall::SA23,SisFall,SA23,0,local_val,last_round_local_fit,1011,0.9784049079754601,0.9778357616339383,0.9813874788494078,0.9742840444184687,0.9742840444184687,0.9742840444184687,0.018612521150592216,0.02571595558153127,0.9968633832442809,0.9951525812851381
KFall::SA19,KFall,SA19,1,local_val,last_round_local_fit,524,0.9912998976458547,0.9921771043024328,0.9855334538878843,0.981460023174971,0.9988207547169812,0.9900642898889538,0.014466546112115732,0.0011792452830188679,0.9988020957726296,0.9950859534098028
KFall::SA15,KFall,SA15,1,local_val,last_round_local_fit,500,0.9876473891072431,0.9873094863451423,0.9907881269191402,0.98875,0.9838308457711443,0.986284289276808,0.009211873080859774,0.01616915422885572,0.9978281570652368,0.9950767466139006
KFall::SA12,KFall,SA12,1,local_val,last_round_local_fit,326,0.974502487562189,0.9748113154455582,0.9717832957110609,0.9658002735978112,0.9778393351800554,0.9717825189263593,0.028216704288939052,0.0221606648199446,0.9961043752305797,0.994752280131461
KFall::SA37,KFall,SA37,1,local_val,last_round_local_fit,327,0.9682638456751711,0.9677750461738133,0.9735935706084959,0.9685362517099864,0.9619565217391305,0.9652351738241309,0.02640642939150402,0.03804347826086957,0.9954980532121999,0.9943860361727752
KFall::SA18,KFall,SA18,1,local_val,last_round_local_fit,459,0.985236220472441,0.9860961900758247,0.9732472324723247,0.9702868852459017,0.9989451476793249,0.9844074844074844,0.026752767527675275,0.0010548523206751054,0.9974922929609044,0.994163236920232
SisFall::SA05,SisFall,SA05,0,local_val,last_round_local_fit,1023,0.9667733202067438,0.9699014491443948,0.9531120331950207,0.9352064220183486,0.9866908650937689,0.9602590521047983,0.04688796680497925,0.013309134906231096,0.9957022689790724,0.9934594875267102
KFall::SA20,KFall,SA20,1,local_val,last_round_local_fit,396,0.9869983041266253,0.987728425321066,0.9837786259541985,0.976775956284153,0.9916782246879334,0.9841706813489333,0.016221374045801526,0.008321775312066574,0.9973888577145822,0.9929011803512009
KFall::SA30,KFall,SA30,1,local_val,last_round_local_fit,442,0.9602534562211982,0.9637584812003417,0.9313929313929314,0.921146953405018,0.9961240310077519,0.957169459962756,0.06860706860706861,0.003875968992248062,0.996631694306113,0.992639008043406
SisFall::SA13,SisFall,SA13,0,local_val,last_round_local_fit,899,0.9746835443037974,0.971828146284935,0.9853985793212312,0.9771745835903763,0.9582577132486388,0.967623701893708,0.014601420678768745,0.041742286751361164,0.993493449760809,0.9922613846588058
KFall::SA14,KFall,SA14,1,local_val,last_round_local_fit,463,0.9778138528138528,0.9774516778089466,0.9792605951307484,0.9690860215053764,0.9756427604871448,0.9723533378287256,0.020739404869251576,0.02435723951285521,0.995625653559083,0.991559928230011
SisFall::SA18,SisFall,SA18,0,local_val,last_round_local_fit,1057,0.9766691486721271,0.9778818487217728,0.9689820882481432,0.9602908277404921,0.9867816091954023,0.9733560090702947,0.031017911751856708,0.013218390804597701,0.9949016535856142,0.9912358787262361
SisFall::SA03,SisFall,SA03,0,local_val,last_round_local_fit,887,0.9623719933317456,0.9601252581649662,0.9722668810289389,0.9591957421643997,0.9479836353009936,0.9535567313345091,0.027733118971061094,0.05201636469900643,0.9938272967990363,0.9911832417199417
SisFall::SA14,SisFall,SA14,0,local_val,last_round_local_fit,879,0.9740846409890632,0.973633590310025,0.975609756097561,0.9615853658536585,0.9716574245224893,0.9665951578302175,0.024390243902439025,0.028342575477510783,0.9940582637936229,0.9909029777265312
SisFall::SA07,SisFall,SA07,0,local_val,last_round_local_fit,881,0.9629013079667063,0.9624408384043273,0.9651115618661258,0.9510250569476082,0.9597701149425287,0.9553775743707094,0.03488843813387424,0.040229885057471264,0.9928880184654123,0.9894198476086153
KFall::SA23,KFall,SA23,1,local_val,last_round_local_fit,391,0.9779536461277558,0.9794079088254803,0.9693978282329714,0.9602053915275995,0.9894179894179894,0.9745928338762215,0.03060217176702863,0.010582010582010581,0.9951216199982241,0.9885547293263273
SisFall::SA09,SisFall,SA09,0,local_val,last_round_local_fit,1119,0.9478195109654651,0.9552273876944632,0.920033319450229,0.8898450946643718,0.9904214559386973,0.9374433363553943,0.07996668054977094,0.009578544061302681,0.9926513963158178,0.9879786595849139
SisFall::SA11,SisFall,SA11,0,local_val,last_round_local_fit,899,0.9579651301647958,0.9577005000594456,0.9589581689029203,0.9382789317507418,0.956442831215971,0.9472738166566806,0.04104183109707971,0.043557168784029036,0.9902428007530734,0.9875389476544932
SisFall::SA08,SisFall,SA08,0,local_val,last_round_local_fit,1215,0.9540170498579178,0.9538720936335485,0.9564579256360078,0.9512862616310892,0.9512862616310892,0.9512862616310892,0.04354207436399217,0.04871373836891078,0.9902530213786034,0.9874470171805753
KFall::SA13,KFall,SA13,1,local_val,last_round_local_fit,517,0.9624933967247755,0.9665699080793421,0.9433962264150944,0.9245508982035928,0.9897435897435898,0.9560371517027864,0.05660377358490566,0.010256410256410256,0.9936974451125394,0.9864688167857016
SisFall::SA01,SisFall,SA01,0,local_val,last_round_local_fit,1207,0.9468935292601186,0.9457896051974013,0.9565217391304348,0.9459302325581396,0.9350574712643678,0.9404624277456647,0.043478260869565216,0.06494252873563218,0.9852353393195875,0.985570683147145
