client_id,dataset,client,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate,tn,fp,fn,tp
SisFall::SA16,SisFall,SA16,0.9761055634807418,0.976020164120786,0.9766708701134931,0.9697959183673469,0.9753694581280788,0.9725747032337291,0.9978216620387338,0.9965428923447763,0.023329129886506934,0.024630541871921183,1549,37,30,1188
KFall::SA17,KFall,SA17,0.9592326139088729,0.9603240967676826,0.9396355353075171,0.9359903381642513,0.9810126582278481,0.957972805933251,0.9924526397739396,0.9908509027602812,0.06036446469248292,0.0189873417721519,825,53,15,775
SisFall::SA12,SisFall,SA12,0.9447771124417831,0.9440261293130999,0.947986577181208,0.9248788368336026,0.9400656814449918,0.9324104234527687,0.9826396924580216,0.9823159239564395,0.05201342281879195,0.05993431855500821,1695,93,73,1145
KFall::SA31,KFall,SA31,0.9618320610687023,0.9630044417448085,0.954177897574124,0.9419795221843004,0.971830985915493,0.9566724436741768,0.9890973197676627,0.9741522993382977,0.04582210242587601,0.028169014084507043,708,34,16,552
KFall::SA21,KFall,SA21,0.9679767103347889,0.9705699215782773,0.9443708609271523,0.936267071320182,0.9967689822294022,0.9655712050078247,0.9881992960232805,0.967242999128711,0.05562913907284768,0.0032310177705977385,713,42,2,617
UpFall::S02,UpFall,S02,0.8288444830582102,0.8525639603257372,0.8174273858921162,0.4853801169590643,0.8877005347593583,0.6275992438563327,0.91103801007389,0.535084583758684,0.1825726141078838,0.11229946524064172,788,176,21,166
UpFall::S07,UpFall,S07,0.7241653418124007,0.7517633123351102,0.7154471544715447,0.27419354838709675,0.7880794701986755,0.40683760683760684,0.85428070616247,0.4508206922298284,0.2845528455284553,0.2119205298013245,792,315,32,119
SisFall::SE03,SisFall,SE03,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1301,0,0,0
SisFall::SE08,SisFall,SE08,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1261,0,0,0
