model,generator,mixture,runs,dev_accuracy_mean,dev_accuracy_std,dev_balanced_accuracy_mean,dev_balanced_accuracy_std,dev_f1_mean,dev_f1_std,dev_far_mean,dev_far_std,dev_fn_mean,dev_fn_std,dev_fp_mean,dev_fp_std,dev_miss_rate_mean,dev_miss_rate_std,dev_pr_auc_mean,dev_pr_auc_std,dev_precision_mean,dev_precision_std,dev_recall_mean,dev_recall_std,dev_roc_auc_mean,dev_roc_auc_std,dev_round_mean,dev_round_std,dev_specificity_mean,dev_specificity_std,dev_tn_mean,dev_tn_std,dev_tp_mean,dev_tp_std,local_accuracy_mean,local_accuracy_std,local_balanced_accuracy_mean,local_balanced_accuracy_std,local_cluster_id_mean,local_cluster_id_std,local_f1_mean,local_f1_std,local_far_mean,local_far_std,local_miss_rate_mean,local_miss_rate_std,local_pr_auc_mean,local_pr_auc_std,local_precision_mean,local_precision_std,local_recall_mean,local_recall_std,local_roc_auc_mean,local_roc_auc_std,local_specificity_mean,local_specificity_std,local_train_examples_mean,local_train_examples_std,test_accuracy_mean,test_accuracy_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_mean,test_f1_std,test_far_mean,test_far_std,test_fn_mean,test_fn_std,test_fp_mean,test_fp_std,test_miss_rate_mean,test_miss_rate_std,test_pr_auc_mean,test_pr_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_roc_auc_mean,test_roc_auc_std,test_round_mean,test_round_std,test_specificity_mean,test_specificity_std,test_tn_mean,test_tn_std,test_tp_mean,test_tp_std
class_prototype,crnngan_lite,25_synthetic_75_original,1,0.6177778929713467,0.0,0.6122056489312083,0.0,0.4704243141010082,0.0,0.3738004873045751,0.0,3142.7874164237955,0.0,6793.076255786045,0.0,0.4017882148330088,0.0,0.4667842810919054,0.0,0.4447995319844015,0.0,0.5982117851669913,0.0,0.6688011854714674,0.0,,0.0,0.6261995126954244,0.0,11379.923744213957,0.0,4679.212583576204,0.0,0.6931648329043909,0.0,0.6965712718144799,0.0,,0.0,0.619646123807152,0.0,0.3102898556120597,0.0,0.2852825461855081,0.0,0.7265774850710757,0.0,0.6808494742238265,0.0,0.6491765657637462,0.0,0.7217461943646687,0.0,0.6897101443879399,0.0,,0.0,0.6419376961290392,0.0,0.6355599831598575,0.0,0.507088405626087,0.0,0.347546970194546,0.0,3060.9605006000343,0.0,6173.824378535916,0.0,0.3813330634857398,0.0,0.5467058893112381,0.0,0.4911680570112929,0.0,0.61866693651426,0.0,0.6959918971690829,0.0,,0.0,0.6524530298054538,0.0,11590.175621464085,0.0,4966.039499399965,0.0
class_prototype,crnngan_lite,50_synthetic_50_original,1,0.5448037257111478,0.0,0.5787905725079436,0.0,0.4547439796517802,0.0,0.5065623482226828,0.0,2627.069595887907,0.0,9205.757554250811,0.0,0.3358565067614302,0.0,0.4524822791370659,0.0,0.3788912846576892,0.0,0.6641434932385697,0.0,0.6530887004879864,0.0,,0.0,0.4934376517773172,0.0,8967.242445749189,0.0,5194.930404112093,0.0,0.8193239149833114,0.0,0.7168992634255676,0.0,,0.0,0.7675232111668053,0.0,0.3944164090080447,0.0,0.1704789198520387,0.0,0.8245375425619847,0.0,0.8026050872146152,0.0,0.7884109009966183,0.0,0.7821189663547138,0.0,0.6055835909919552,0.0,,0.0,0.5554961419841745,0.0,0.5889183297798796,0.0,0.4739320610340745,0.0,0.4996091063338134,0.0,2589.142837172291,0.0,8875.056164913865,0.0,0.322554234106427,0.0,0.5633952202022061,0.0,0.4013767796860434,0.0,0.677445765893573,0.0,0.6907026991384464,0.0,,0.0,0.5003908936661865,0.0,8888.943835086135,0.0,5437.8571628277095,0.0
class_prototype,crnngan_lite,70_synthetic_30_original,1,0.5728383139751206,0.0,0.5774545033790196,0.0,0.4464386333965727,0.0,0.4341383710828058,0.0,3214.47141052891,0.0,7889.596617687829,0.0,0.410952622159155,0.0,0.4602388611360339,0.0,0.378222421497047,0.0,0.589047377840845,0.0,0.6587929695794392,0.0,,0.0,0.5658616289171943,0.0,10283.40338231217,0.0,4607.5285894710905,0.0,0.8085450485454817,0.0,0.7477135701590033,0.0,,0.0,0.8227588733793689,0.0,0.3250029545412645,0.0,0.1794468890660883,0.0,0.9008368492288548,0.0,0.8871221405872334,0.0,0.7970001429395797,0.0,0.8240436444785864,0.0,0.6749970454587352,0.0,,0.0,0.604718866938075,0.0,0.6176720598234827,0.0,0.4996106792292535,0.0,0.4166378711313856,0.0,2793.5405600221793,0.0,7401.155142777931,0.0,0.3480180092216493,0.0,0.5963435851776702,0.0,0.4273267835471802,0.0,0.6519819907783508,0.0,0.7116986987471,0.0,,0.0,0.5833621288686146,0.0,10362.844857222068,0.0,5233.459439977821,0.0
class_prototype,crnngan_lite,90_synthetic_10_original,1,0.3269961903668547,0.0,0.50818684372163,0.0,0.4606490621486577,0.0,0.9468465862810156,0.0,287.69101892871527,0.0,17207.043012484897,0.0,0.0367797262757242,0.0,0.3131035193315554,0.0,0.3137099849362209,0.0,0.9632202737242758,0.0,0.5123882415679947,0.0,,0.0,0.0531534137189843,0.0,965.9569875151028,0.0,7534.3089810712845,0.0,0.9741720541834062,0.0,0.5144985043403506,0.0,,0.0,0.961926927930082,0.0,0.9445533158280912,0.0,0.0261220453045479,0.0,0.9675884312615564,0.0,0.966858102753081,0.0,0.9663673705279914,0.0,0.5126227162481588,0.0,0.0554466841719086,0.0,,0.0,0.3375014116052879,0.0,0.5095506055926085,0.0,0.4742907883010042,0.0,0.9461668394240274,0.0,278.7933577595945,0.0,16807.707735528424,0.0,0.0347319493907555,0.0,0.327399814649256,0.0,0.3258299080295167,0.0,0.9652680506092444,0.0,0.5140811431170935,0.0,,0.0,0.0538331605759726,0.0,956.2922644715776,0.0,7748.206642240406,0.0
class_prototype,doppelganger_lite,25_synthetic_75_original,1,0.6398411812634452,0.0,0.6205472345753297,0.0,0.475346565642589,0.0,0.3309988823063671,0.0,3347.085804903137,0.0,6015.2426881536085,0.0,0.4279066485429731,0.0,0.464147818400329,0.0,0.468812776074767,0.0,0.5720933514570269,0.0,0.6596743654954152,0.0,,0.0,0.6690011176936331,0.0,12157.757311846392,0.0,4474.914195096862,0.0,0.7458607478205653,0.0,0.7359330624074688,0.0,,0.0,0.6504768709302551,0.0,0.2812455040944229,0.0,0.2423121838006607,0.0,0.7208696241372037,0.0,0.6909601210939115,0.0,0.6921469281485936,0.0,0.7233375125451557,0.0,0.7187544959055767,0.0,,0.0,0.6467350483139326,0.0,0.631439499134756,0.0,0.4962213004270247,0.0,0.3280462245090623,0.0,3283.643236756386,0.0,5827.413132178982,0.0,0.4090747772214259,0.0,0.5323542415751421,0.0,0.4976454136050959,0.0,0.5909252227785742,0.0,0.6872404671288617,0.0,,0.0,0.6719537754909379,0.0,11936.58686782102,0.0,4743.356763243614,0.0
class_prototype,doppelganger_lite,50_synthetic_50_original,1,0.6317432103313974,0.0,0.6230408890557786,0.0,0.4817199672387278,0.0,0.3551045228310229,0.0,3119.5207540271417,0.0,6453.3144934081765,0.0,0.3988136990574203,0.0,0.4401699792873716,0.0,0.4367890950367598,0.0,0.6011863009425796,0.0,0.6582291185660682,0.0,,0.0,0.6448954771689772,0.0,11719.685506591824,0.0,4702.479245972859,0.0,0.8417092831458128,0.0,0.8079370694964791,0.0,,0.0,0.7786731319772646,0.0,0.2244368494402139,0.0,0.1561672493748411,0.0,0.8238149265068261,0.0,0.7987938522816109,0.0,0.8027225714738161,0.0,0.811389554869596,0.0,0.7755631505597863,0.0,,0.0,0.6610364166967214,0.0,0.6451606792280565,0.0,0.5128320740692276,0.0,0.3127882634591845,0.0,3185.8390648859067,0.0,5556.370712088952,0.0,0.3968903780847025,0.0,0.5414105348587842,0.0,0.479903084749329,0.0,0.6031096219152976,0.0,0.6956681614068524,0.0,,0.0,0.6872117365408155,0.0,12207.629287911048,0.0,4841.160935114093,0.0
class_prototype,doppelganger_lite,70_synthetic_30_original,1,0.6701934541460336,0.0,0.6491638152149204,0.0,0.5104475049761741,0.0,0.2980233682442352,0.0,3157.3424883713765,0.0,5415.978671102486,0.0,0.4036490013259238,0.0,0.4453884768417062,0.0,0.4731985241603326,0.0,0.5963509986740758,0.0,0.6788830096715289,0.0,,0.0,0.7019766317557649,0.0,12757.021328897514,0.0,4664.657511628623,0.0,0.8960122624345469,0.0,0.8425570854081063,0.0,,0.0,0.858364298998477,0.0,0.1915083040007886,0.0,0.1227401367146132,0.0,0.8999963022616295,0.0,0.8926353988968942,0.0,0.8537068952910547,0.0,0.8667475017917861,0.0,0.8084916959992114,0.0,,0.0,0.7131192872921402,0.0,0.6829264231539109,0.0,0.5570739068022428,0.0,0.237099851983291,0.0,3187.098690817238,0.0,4211.84177063118,0.0,0.3970473017088874,0.0,0.5602284721630173,0.0,0.5511970408774931,0.0,0.6029526982911128,0.0,0.7266947744023928,0.0,,0.0,0.7629001480167091,0.0,13552.15822936882,0.0,4839.901309182762,0.0
class_prototype,doppelganger_lite,90_synthetic_10_original,1,0.3278790308223023,0.0,0.507792590673777,0.0,0.4591905088019402,0.0,0.9440336085667876,0.0,315.86182529002093,0.0,17155.92276848423,0.0,0.0403812100856585,0.0,0.3121380652892364,0.0,0.3133173902082776,0.0,0.9596187899143418,0.0,0.511505150188917,0.0,,0.0,0.0559663914332125,0.0,1017.0772315157708,0.0,7506.1381747099795,0.0,0.9755929712730652,0.0,0.5148330494074053,0.0,,0.0,0.960653993299448,0.0,0.9399998666985656,0.0,0.030125161308921,0.0,0.9673072488083976,0.0,0.9662100119361342,0.0,0.9623642545236186,0.0,0.5122225341478175,0.0,0.0600001333014344,0.0,,0.0,0.3383978736514679,0.0,0.5091515158859489,0.0,0.4725647316223503,0.0,0.9431343202924942,0.0,309.54237497912635,0.0,16753.838065675864,0.0,0.038562647935608,0.0,0.3262778241358316,0.0,0.3259498642318356,0.0,0.961437352064392,0.0,0.51349975952343,0.0,,0.0,0.0568656797075059,0.0,1010.1619343241358,0.0,7717.457625020874,0.0
class_prototype,rcgan_lite,25_synthetic_75_original,1,0.6435602377344651,0.0,0.6225874172593506,0.0,0.471940821534256,0.0,0.3247424573179264,0.0,3364.1069432539,0.0,5901.544676838676,0.0,0.4300827081633726,0.0,0.4790540270171071,0.0,0.4706043677972151,0.0,0.5699172918366275,0.0,0.6751633930638425,0.0,,0.0,0.6752575426820735,0.0,12271.455323161324,0.0,4457.8930567461,0.0,0.638281508430155,0.0,0.6864243965197447,0.0,,0.0,0.5782090243713222,0.0,0.2815255894797549,0.0,0.3442697003738958,0.0,0.7234706954396044,0.0,0.6881593812741635,0.0,0.5901894115753583,0.0,0.6893312331400041,0.0,0.7184744105202452,0.0,,0.0,0.6553435396959788,0.0,0.6374460611961145,0.0,0.496543014437691,0.0,0.3151477697590054,0.0,3290.7497857020403,0.0,5598.2849819989715,0.0,0.4099601078487653,0.0,0.5488114197580264,0.0,0.4978396165366345,0.0,0.5900398921512344,0.0,0.6991340869143325,0.0,,0.0,0.6848522302409947,0.0,12165.715018001029,0.0,4736.25021429796,0.0
class_prototype,rcgan_lite,50_synthetic_50_original,1,0.5361581973349046,0.0,0.5983025120999971,0.0,0.4778702190393482,0.0,0.5577637097450983,0.0,1921.3277630814891,0.0,10136.239897197667,0.0,0.2456312660549078,0.0,0.4555851507873931,0.0,0.3846395197569494,0.0,0.754368733945092,0.0,0.6709349437836254,0.0,,0.0,0.4422362902549016,0.0,8036.760102802331,0.0,5900.672236918511,0.0,0.7969746255163426,0.0,0.6752521056090904,0.0,,0.0,0.7563695188328462,0.0,0.4635087590578336,0.0,0.1852598831418579,0.0,0.8242200959270981,0.0,0.7992223635874023,0.0,0.7736299377067989,0.0,0.7307568760913384,0.0,0.5364912409421665,0.0,,0.0,0.5354259246140836,0.0,0.6028710087049667,0.0,0.494215718003779,0.0,0.5757749976407213,0.0,1753.7629201883992,0.0,10228.06705808977,0.0,0.2184829849493459,0.0,0.5373163707553928,0.0,0.4007962544562836,0.0,0.7815170150506541,0.0,0.6953338138660498,0.0,,0.0,0.4242250023592788,0.0,7535.9329419102305,0.0,6273.237079811601,0.0
