client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate
KFall::SA20,KFall,SA20,1,local_val,last_round_local_fit,414,0.9914334665905197,0.9914083087184871,0.9922394678492239,0.9917452830188679,0.9905771495877503,0.9911608721272834,0.998935750680989,0.9986198947701628,0.007760532150776054,0.009422850412249705
KFall::SA37,KFall,SA37,1,local_val,last_round_local_fit,430,0.9833776595744681,0.9826973273335788,0.9913686806411838,0.9897360703812317,0.974025974025974,0.9818181818181818,0.9983043398579774,0.9981695496465042,0.008631319358816275,0.025974025974025976
KFall::SA18,KFall,SA18,1,local_val,last_round_local_fit,514,0.9838138593829034,0.9837188809921847,0.9849624060150376,0.9824753559693319,0.9824753559693319,0.9824753559693319,0.99851147584185,0.9981496696781839,0.015037593984962405,0.017524644030668127
KFall::SA24,KFall,SA24,1,local_val,last_round_local_fit,484,0.9821941412981046,0.9815484178462259,0.9884453781512605,0.985897435897436,0.9746514575411914,0.9802421924792861,0.9982479683888765,0.998014742274882,0.011554621848739496,0.025348542458808618
KFall::SA22,KFall,SA22,1,local_val,last_round_local_fit,537,0.9812974868497955,0.9810638443622414,0.9855555555555555,0.9838509316770186,0.9765721331689272,0.9801980198019802,0.9973667625702152,0.997491749610787,0.014444444444444444,0.02342786683107275
KFall::SA19,KFall,SA19,1,local_val,last_round_local_fit,535,0.9696345856922285,0.971573127139602,0.9574660633484163,0.9461626575028637,0.9856801909307876,0.9655172413793104,0.9976868000734349,0.9970259906063778,0.04253393665158371,0.014319809069212411
KFall::SA35,KFall,SA35,1,local_val,last_round_local_fit,460,0.9824465167306637,0.9830876583342675,0.9772727272727273,0.9721212121212122,0.9889025893958077,0.980440097799511,0.9978080542735022,0.9969656266976135,0.022727272727272728,0.011097410604192354
KFall::SA30,KFall,SA30,1,local_val,last_round_local_fit,412,0.9818799546998868,0.9817486781155035,0.9847991313789359,0.9833531510107015,0.978698224852071,0.9810201660735468,0.9971461429241435,0.99661390239276,0.01520086862106406,0.021301775147928994
KFall::SA23,KFall,SA23,1,local_val,last_round_local_fit,382,0.9803149606299213,0.979950351525694,0.9823874755381604,0.9762219286657859,0.9775132275132276,0.976867151354924,0.9973583801861687,0.9963327621408907,0.01761252446183953,0.022486772486772486
SisFall::SA08,SisFall,SA08,0,local_val,last_round_local_fit,887,0.9728506787330317,0.9746259544351754,0.965032154340836,0.950875211744777,0.9842197545295149,0.9672601952900631,0.9973948594398642,0.9962928716462328,0.034967845659163985,0.015780245470485097
KFall::SA15,KFall,SA15,1,local_val,last_round_local_fit,506,0.9814084507042253,0.9814834126395584,0.9808467741935484,0.9758883248730964,0.9821200510855683,0.9789942711648632,0.9968740987928975,0.9957467110493725,0.019153225806451613,0.017879948914431672
SisFall::SA17,SisFall,SA17,0,local_val,last_round_local_fit,887,0.970354302241504,0.970940217451236,0.9675963904840033,0.95475372279496,0.9742840444184687,0.9644200173560891,0.9967322862393555,0.9955777989586324,0.03240360951599672,0.02571595558153127
SisFall::SA10,SisFall,SA10,0,local_val,last_round_local_fit,1037,0.9745616201531242,0.9750729816979551,0.9717707442258341,0.9620689655172414,0.978375219170076,0.9701535786728485,0.9965387751673742,0.9955689556592857,0.028229255774165955,0.02162478082992402
SisFall::SA21,SisFall,SA21,0,local_val,last_round_local_fit,1083,0.9670247314514114,0.9681787475683281,0.9593460008837826,0.9486607142857143,0.9770114942528736,0.9626274065685164,0.9960498981618338,0.9953169620207629,0.040653999116217414,0.022988505747126436
SisFall::SA23,SisFall,SA23,0,local_val,last_round_local_fit,907,0.9626704953338119,0.9657961148577003,0.947109471094711,0.9299674267100977,0.9844827586206897,0.9564489112227805,0.9963414203107549,0.9948970636487907,0.05289052890528905,0.015517241379310345
SisFall::SA18,SisFall,SA18,0,local_val,last_round_local_fit,899,0.969668020062097,0.9729426920320423,0.9573796369376479,0.9380022962112514,0.9885057471264368,0.9625920471281296,0.9965442755297464,0.9945910108554884,0.042620363062352014,0.011494252873563218
KFall::SA14,KFall,SA14,1,local_val,last_round_local_fit,500,0.9718387631143015,0.973065596562184,0.9665116279069768,0.952443857331572,0.9796195652173914,0.9658405894172807,0.9963713346814964,0.9945215954148763,0.03348837209302326,0.020380434782608696
KFall::SA38,KFall,SA38,1,local_val,last_round_local_fit,399,0.9759414225941423,0.9752243479843359,0.9812909260991581,0.97610513739546,0.9691577698695136,0.9726190476190476,0.995724432874262,0.9943564590336612,0.018709073900841908,0.03084223013048636
SisFall::SA20,SisFall,SA20,0,local_val,last_round_local_fit,844,0.9740577581987273,0.9742809922646893,0.9731925264012997,0.96,0.9753694581280788,0.967623701893708,0.9959037468036319,0.9941591283197617,0.026807473598700244,0.024630541871921183
KFall::SA12,KFall,SA12,1,local_val,last_round_local_fit,334,0.96625,0.9633107553366174,0.9816810344827587,0.9739263803680982,0.9449404761904762,0.959214501510574,0.9955276965311987,0.9941536465376313,0.018318965517241378,0.05505952380952381
KFall::SA27,KFall,SA27,1,local_val,last_round_local_fit,473,0.9626512361914782,0.9638874446755186,0.9434523809523809,0.9391025641025641,0.9843225083986562,0.9611809732094041,0.9941387155832845,0.9930882508203706,0.05654761904761905,0.015677491601343786
SisFall::SA22,SisFall,SA22,0,local_val,last_round_local_fit,1057,0.9597815292949354,0.9630934858340675,0.9388379204892966,0.9246095853527194,0.9873490511788384,0.9549499443826474,0.9946912138987094,0.9929196746968656,0.06116207951070336,0.012650948821161587
SisFall::SA09,SisFall,SA09,0,local_val,last_round_local_fit,1023,0.965296578882599,0.9686566358663865,0.9506224066390041,0.932,0.9866908650937689,0.9585659712018807,0.9954246397220694,0.9921649248840101,0.04937759336099585,0.013309134906231096
SisFall::SA19,SisFall,SA19,0,local_val,last_round_local_fit,899,0.958920468115596,0.9644841050998615,0.9380426203630624,0.9125348189415042,0.9909255898366606,0.9501160092807425,0.9952703725402284,0.9914398371527158,0.06195737963693765,0.009074410163339383
KFall::SA33,KFall,SA33,1,local_val,last_round_local_fit,376,0.9715747583854463,0.9666312893726062,0.9879963065558633,0.9800613496932515,0.9452662721893491,0.9623493975903614,0.9948013134674119,0.9913090684188055,0.012003693444136657,0.05473372781065089
KFall::SA25,KFall,SA25,1,local_val,last_round_local_fit,560,0.9626168224299065,0.9605443658815914,0.9727443609022557,0.9610738255033557,0.9483443708609272,0.9546666666666667,0.992367923119056,0.9897556197872152,0.02725563909774436,0.051655629139072845
SisFall::SA05,SisFall,SA05,0,local_val,last_round_local_fit,1207,0.9610724413508637,0.9624518385968306,0.949041608228144,0.9396790260099612,0.9758620689655172,0.9574288130814773,0.9924153514640529,0.9896624236571137,0.05095839177185601,0.02413793103448276
KFall::SA36,KFall,SA36,1,local_val,last_round_local_fit,389,0.9800235017626322,0.9802934212751564,0.9783950617283951,0.9715447154471545,0.9821917808219178,0.9768392370572208,0.9941160719319014,0.9895703767048514,0.021604938271604937,0.01780821917808219
SisFall::SA04,SisFall,SA04,0,local_val,last_round_local_fit,849,0.953268822279915,0.9527618869179539,0.9558346839546191,0.9390721073225266,0.9496890898812889,0.9443507588532883,0.9912045465164966,0.9876273803155927,0.044165316045380876,0.05031091011871114
KFall::SA28,KFall,SA28,1,local_val,last_round_local_fit,473,0.9630836047774158,0.9634262077116266,0.9565667011375388,0.9528619528619529,0.9702857142857143,0.9614949037372593,0.9908098685182449,0.9874179546165092,0.04343329886246122,0.029714285714285714
SisFall::SA06,SisFall,SA06,0,local_val,last_round_local_fit,1397,0.940363242071022,0.9408313426575977,0.9222633527234267,0.9214743589743589,0.9593993325917687,0.9400544959128065,0.9869071281387334,0.9870994297724233,0.07773664727657324,0.040600667408231365
KFall::SA10,KFall,SA10,1,local_val,last_round_local_fit,595,0.9565217391304348,0.9573234727484142,0.946865037194474,0.9398315282791817,0.9677819083023544,0.9536019536019537,0.9893585220710915,0.9854710817678475,0.053134962805526036,0.0322180916976456
KFall::SA09,KFall,SA09,1,local_val,last_round_local_fit,462,0.9654974123059229,0.9657221988405719,0.9643211100099108,0.9514824797843666,0.9671232876712329,0.9592391304347826,0.9921202329717475,0.9854623073523536,0.035678889990089196,0.03287671232876712
SisFall::SA07,SisFall,SA07,0,local_val,last_round_local_fit,887,0.951417004048583,0.9536187493070185,0.9417202572347267,0.9193099610461881,0.9655172413793104,0.9418472063854048,0.9895982304776545,0.9838886802311029,0.05827974276527331,0.034482758620689655
SisFall::SA01,SisFall,SA01,0,local_val,last_round_local_fit,1083,0.9522857856607544,0.9540139729074923,0.9407865665046399,0.9262520638414969,0.9672413793103448,0.9463030643800956,0.9893580386121565,0.983050167376466,0.059213433495360145,0.032758620689655175
SisFall::SA13,SisFall,SA13,0,local_val,last_round_local_fit,1215,0.9429088090932576,0.9410291592625083,0.974559686888454,0.9695906432748538,0.9074986316365626,0.9375176703420979,0.9800738434249467,0.9798946536841183,0.025440313111545987,0.09250136836343732
SisFall::SA03,SisFall,SA03,0,local_val,last_round_local_fit,1285,0.9268613522757169,0.926470243771855,0.9311014070839398,0.9186712485681557,0.9218390804597701,0.9202524383247275,0.9820157606786126,0.9780382619343257,0.06889859291606017,0.07816091954022988
KFall::SA13,KFall,SA13,1,local_val,last_round_local_fit,474,0.9622933884297521,0.9657317678483994,0.9499575911789653,0.92643391521197,0.9815059445178336,0.9531751122514432,0.9916145940125691,0.977647189021416,0.05004240882103478,0.018494055482166448
KFall::SA26,KFall,SA26,1,local_val,last_round_local_fit,559,0.952431289640592,0.9550807559750412,0.925242718446602,0.9168466522678186,0.9849187935034803,0.9496644295302014,0.9853929673597188,0.9773080003218304,0.07475728155339806,0.015081206496519721
SisFall::SA14,SisFall,SA14,0,local_val,last_round_local_fit,1118,0.9190824300478951,0.9283782087391216,0.8842149104539775,0.8456413103831205,0.9725415070242657,0.9046629046629047,0.9836346924413678,0.9734964268032823,0.11578508954602248,0.027458492975734355
SisFall::SA11,SisFall,SA11,0,local_val,last_round_local_fit,881,0.9231866825208086,0.9246788370520622,0.9160243407707911,0.8869470234844348,0.9333333333333333,0.9095491458975077,0.9788228299643282,0.9733599507736698,0.08397565922920892,0.06666666666666667
