round,metric,value
1,cluster_id,0.6592969696969697
1,num_examples,716.3061818181818
1,participating_clients,69.0
1,total_examples,41250.0
1,val_accuracy,0.9295711885146383
1,val_balanced_accuracy,0.9326644362289263
1,val_f1,0.760686741003781
1,val_far,0.07852030548267991
1,val_miss_rate,0.0561508220594685
1,val_pr_auc,0.9099809794431711
1,val_precision,0.7305219118731433
1,val_recall,0.8115582688496225
1,val_roc_auc,0.9647125601460909
1,val_specificity,0.9214796945173205
2,cluster_id,0.6592969696969697
2,num_examples,716.3061818181818
2,participating_clients,69.0
2,total_examples,41250.0
2,val_accuracy,0.9439169781679698
2,val_balanced_accuracy,0.9437196704155982
2,val_f1,0.7782904101241772
2,val_far,0.05623602413698711
2,val_miss_rate,0.056324635031816755
2,val_pr_auc,0.9259372939554176
2,val_precision,0.7588533830503053
2,val_recall,0.8113844558772743
2,val_roc_auc,0.9739472309035622
2,val_specificity,0.9437639758630129
3,cluster_id,0.6592969696969697
3,num_examples,716.3061818181818
3,participating_clients,69.0
3,total_examples,41250.0
3,val_accuracy,0.9473736221306263
3,val_balanced_accuracy,0.9459765136485532
3,val_f1,0.7818911411651417
3,val_far,0.05063756131017764
3,val_miss_rate,0.05740941139271633
3,val_pr_auc,0.9287085297908327
3,val_precision,0.7657014562004416
3,val_recall,0.8102996795163746
3,val_roc_auc,0.9748570751908738
3,val_specificity,0.9493624386898223
4,cluster_id,0.6592969696969697
4,num_examples,716.3061818181818
4,participating_clients,69.0
4,total_examples,41250.0
4,val_accuracy,0.9480877698465426
4,val_balanced_accuracy,0.9465113774200096
4,val_f1,0.7821000932554307
4,val_far,0.049297631459118155
4,val_miss_rate,0.057672361385735074
4,val_pr_auc,0.9270816161005355
4,val_precision,0.7656656064352501
4,val_recall,0.8100367295233559
4,val_roc_auc,0.9751106336243557
4,val_specificity,0.9507023685408817
5,cluster_id,0.6592969696969697
5,num_examples,716.3061818181818
5,participating_clients,69.0
5,total_examples,41250.0
5,val_accuracy,0.9472216448011852
5,val_balanced_accuracy,0.9450769795540696
5,val_f1,0.7812064864753244
5,val_far,0.050260632887339
5,val_miss_rate,0.05892850952270269
5,val_pr_auc,0.9268056542568223
5,val_precision,0.7651717587613726
5,val_recall,0.8087805813863881
5,val_roc_auc,0.9748263503561008
5,val_specificity,0.9497393671126612
6,cluster_id,0.6592969696969697
6,num_examples,716.3061818181818
6,participating_clients,69.0
6,total_examples,41250.0
6,val_accuracy,0.945741355632844
6,val_balanced_accuracy,0.9438551822635524
6,val_f1,0.7802454344615466
6,val_far,0.052133696252222944
6,val_miss_rate,0.05883512760590207
6,val_pr_auc,0.9259673152769746
6,val_precision,0.7632456250380555
6,val_recall,0.8088739633031888
6,val_roc_auc,0.9745664742055382
6,val_specificity,0.947866303747777
7,cluster_id,0.6592969696969697
7,num_examples,716.3061818181818
7,participating_clients,69.0
7,total_examples,41250.0
7,val_accuracy,0.9452506928338937
7,val_balanced_accuracy,0.9429836820499597
7,val_f1,0.7797617746266278
7,val_far,0.05300616524953333
7,val_miss_rate,0.059303744218817386
7,val_pr_auc,0.9270007428702879
7,val_precision,0.7620283669318249
7,val_recall,0.8084053466902733
7,val_roc_auc,0.9746064697433404
7,val_specificity,0.9469938347504671
8,cluster_id,0.6592969696969697
8,num_examples,716.3061818181818
8,participating_clients,69.0
8,total_examples,41250.0
8,val_accuracy,0.94397073733697
8,val_balanced_accuracy,0.9416931658890563
8,val_f1,0.7786983827952048
8,val_far,0.0551907161499418
8,val_miss_rate,0.05903071210053775
8,val_pr_auc,0.9255088358565084
8,val_precision,0.7598383168128227
8,val_recall,0.8086783788085529
8,val_roc_auc,0.97433725562585
8,val_specificity,0.9448092838500582
9,cluster_id,0.6592969696969697
9,num_examples,716.3061818181818
9,participating_clients,69.0
9,total_examples,41250.0
9,val_accuracy,0.9428683804688582
9,val_balanced_accuracy,0.9402618620864479
9,val_f1,0.7776897291890515
9,val_far,0.056148914536495814
9,val_miss_rate,0.06022077306003422
9,val_pr_auc,0.9260645354895071
9,val_precision,0.7591691596697014
9,val_recall,0.8074883178490571
9,val_roc_auc,0.9739699653504403
9,val_specificity,0.9438510854635042
10,cluster_id,0.6592969696969697
10,num_examples,716.3061818181818
10,participating_clients,69.0
10,total_examples,41250.0
10,val_accuracy,0.942627705422379
10,val_balanced_accuracy,0.9411935647823746
10,val_f1,0.7788452227078752
10,val_far,0.05717389713575788
10,val_miss_rate,0.05684273897391763
10,val_pr_auc,0.9252578593662658
10,val_precision,0.7584252462168825
10,val_recall,0.8108663519351736
10,val_roc_auc,0.9742348514883956
10,val_specificity,0.9428261028642421
11,cluster_id,0.6592969696969697
11,num_examples,716.3061818181818
11,participating_clients,69.0
11,total_examples,41250.0
11,val_accuracy,0.9414549775855108
11,val_balanced_accuracy,0.9405704539976173
11,val_f1,0.7779444857957155
11,val_far,0.05914579256727453
11,val_miss_rate,0.05582561142860653
11,val_pr_auc,0.9242031450733207
11,val_precision,0.7563408790231602
11,val_recall,0.8118834794804846
11,val_roc_auc,0.9738747229750596
11,val_specificity,0.9408542074327256
12,cluster_id,0.6592969696969697
12,num_examples,716.3061818181818
12,participating_clients,69.0
12,total_examples,41250.0
12,val_accuracy,0.9420884664475327
12,val_balanced_accuracy,0.9395570905186394
12,val_f1,0.7780195036054792
12,val_far,0.05812265218082753
12,val_miss_rate,0.058690029741880756
12,val_pr_auc,0.9269375174856834
12,val_precision,0.7577870479674854
12,val_recall,0.8090190611672101
12,val_roc_auc,0.9739339362605197
12,val_specificity,0.9418773478191723
13,cluster_id,0.6592969696969697
13,num_examples,716.3061818181818
13,participating_clients,69.0
13,total_examples,41250.0
13,val_accuracy,0.9416411346944253
13,val_balanced_accuracy,0.9392310533884172
13,val_f1,0.7777568550475922
13,val_far,0.05883075763611056
13,val_miss_rate,0.058408706360672594
13,val_pr_auc,0.9257141184022794
13,val_precision,0.7569901148619448
13,val_recall,0.8093003845484185
13,val_roc_auc,0.9739775728063291
13,val_specificity,0.9411692423638899
14,cluster_id,0.6592969696969697
14,num_examples,716.3061818181818
14,participating_clients,69.0
14,total_examples,41250.0
14,val_accuracy,0.9409628164242229
14,val_balanced_accuracy,0.9396851729010699
14,val_f1,0.7779293662299186
14,val_far,0.06023579261472261
14,val_miss_rate,0.05568999543171178
14,val_pr_auc,0.9257890038770786
14,val_precision,0.75572709954555
14,val_recall,0.8120190954773795
14,val_roc_auc,0.9741168725883075
14,val_specificity,0.9397642073852772
15,cluster_id,0.6592969696969697
15,num_examples,716.3061818181818
15,participating_clients,69.0
15,total_examples,41250.0
15,val_accuracy,0.9404581862394324
15,val_balanced_accuracy,0.9384461799407614
15,val_f1,0.7770556183303962
15,val_far,0.060993899818880294
15,val_miss_rate,0.057225213237407924
15,val_pr_auc,0.9273497980169544
15,val_precision,0.7550424293404308
15,val_recall,0.8104838776716832
15,val_roc_auc,0.9742334596700891
15,val_specificity,0.93900610018112
16,cluster_id,0.6592969696969697
16,num_examples,716.3061818181818
16,participating_clients,69.0
16,total_examples,41250.0
16,val_accuracy,0.9393843579710078
16,val_balanced_accuracy,0.9379037123938492
16,val_f1,0.7771671013657024
16,val_far,0.06208825416564432
16,val_miss_rate,0.05633904187011567
16,val_pr_auc,0.9258440729012115
16,val_precision,0.7550917076899896
16,val_recall,0.8113700490389749
16,val_roc_auc,0.9738280337862774
16,val_specificity,0.9379117458343559
17,cluster_id,0.6592969696969697
17,num_examples,716.3061818181818
17,participating_clients,69.0
17,total_examples,41250.0
