client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,far,miss_rate,roc_auc,pr_auc
SisFall::SA17,SisFall,SA17,1,local_val,last_round_local_fit,845,0.7449296110713434,0.752850847303621,0.6613965744400527,0.6770004189359028,0.8443051201671892,0.7514531504301325,0.3386034255599473,0.15569487983281086,0.8556425414473663,0.8511798806871052
KFall::SA18,KFall,SA18,2,local_val,last_round_local_fit,589,0.7749737118822292,0.7795083673668264,0.6629554655870445,0.7109375,0.8960612691466083,0.7928363988383349,0.33704453441295545,0.10393873085339168,0.86094125125134,0.8329795524977276
SisFall::SA20,SisFall,SA20,1,local_val,last_round_local_fit,1002,0.7253054989816701,0.7479825544442062,0.5719440685611187,0.6249011857707509,0.9240210403272939,0.7455788729073332,0.4280559314388814,0.07597895967270601,0.8568372232314613,0.8102031824087641
KFall::SA36,KFall,SA36,2,local_val,last_round_local_fit,504,0.7321991178323881,0.7288098375054897,0.8067632850241546,0.7553516819571865,0.6508563899868248,0.6992215145081387,0.1932367149758454,0.34914361001317523,0.8379080661689358,0.8092135560147209
KFall::SA28,KFall,SA28,2,local_val,last_round_local_fit,554,0.7484383872799546,0.7466022423781078,0.6351039260969977,0.7084870848708487,0.8581005586592179,0.7761495704901465,0.3648960739030023,0.1418994413407821,0.8265743739275162,0.8087624559955027
SisFall::SA13,SisFall,SA13,1,local_val,last_round_local_fit,841,0.8065959952885748,0.7857822353504992,0.8860710105345299,0.797923875432526,0.6854934601664685,0.7374480332587144,0.11392898946547016,0.3145065398335315,0.864061442377416,0.8026866556216934
SisFall::SA07,SisFall,SA07,1,local_val,last_round_local_fit,1233,0.6880352971710355,0.7116136560210193,0.46805489824893515,0.5965541995692749,0.9551724137931035,0.7344233318603623,0.5319451017510648,0.04482758620689655,0.8077680043083049,0.7960080343430846
KFall::SA29,KFall,SA29,2,local_val,last_round_local_fit,513,0.7220139260846278,0.7436539945290033,0.5839622641509434,0.6230769230769231,0.9033457249070632,0.7374810318664643,0.4160377358490566,0.09665427509293681,0.836093381029202,0.7955492707998675
SisFall::SA18,SisFall,SA18,1,local_val,last_round_local_fit,1057,0.7140729709605361,0.7363006733854567,0.5731760594145915,0.6156569630212431,0.8994252873563219,0.7309668379262028,0.42682394058540846,0.10057471264367816,0.8230206434572143,0.7790377935405804
SisFall::SA11,SisFall,SA11,1,local_val,last_round_local_fit,1409,0.6333967908621159,0.6447621633168961,0.4326277749096541,0.5756756756756757,0.8568965517241379,0.6886836027713625,0.5673722250903459,0.14310344827586208,0.7481410108059032,0.7763626803091919
SisFall::SA10,SisFall,SA10,1,local_val,last_round_local_fit,1207,0.68574374838876,0.7049765439860716,0.5179990649836372,0.6008517228029423,0.8919540229885058,0.7180198935924127,0.48200093501636276,0.10804597701149425,0.7834754665677914,0.7758374976653064
KFall::SA38,KFall,SA38,2,local_val,last_round_local_fit,550,0.7098239636570131,0.7078539285788092,0.7612267250821467,0.7179818887451488,0.6544811320754716,0.6847624922887107,0.23877327491785322,0.3455188679245283,0.802322066998698,0.7755470188477644
SisFall::SA14,SisFall,SA14,1,local_val,last_round_local_fit,1463,0.669243511871894,0.6643632819114127,0.4634974533106961,0.6286721504112809,0.8652291105121294,0.7282214156079855,0.5365025466893039,0.1347708894878706,0.7576435001075422,0.7739257087297194
KFall::SA27,KFall,SA27,2,local_val,last_round_local_fit,531,0.7346717308735757,0.7342410893071687,0.7048458149779736,0.7270875763747454,0.7636363636363637,0.7449139280125195,0.29515418502202645,0.23636363636363636,0.8017420905086102,0.772378288582634
