client_id,dataset,client,cluster_id,evaluation_split,model_source,train_examples,accuracy,balanced_accuracy,specificity,precision,recall,f1,roc_auc,pr_auc,far,miss_rate
KFall::SA18,KFall,SA18,2,local_val,last_round_local_fit,609,0.9883103081827843,0.9883964762103392,0.9898190045248869,0.9909456740442656,0.9869739478957916,0.9889558232931727,0.9993482439993109,0.9994371307295785,0.010180995475113122,0.013026052104208416
KFall::SA22,KFall,SA22,2,local_val,last_round_local_fit,462,0.9848824188129899,0.9838700814444117,0.9888372093023255,0.9830508474576272,0.9789029535864979,0.9809725158562368,0.9982677525921565,0.9976357039726198,0.011162790697674419,0.02109704641350211
KFall::SA24,KFall,SA24,2,local_val,last_round_local_fit,461,0.9795918367346939,0.9787387812881553,0.9875904860392968,0.9847133757961783,0.9698870765370138,0.97724399494311,0.9980679876320068,0.9976296662460342,0.012409513960703205,0.030112923462986198
KFall::SA37,KFall,SA37,2,local_val,last_round_local_fit,362,0.9783715012722646,0.9775766504155035,0.9881656804733728,0.9859747545582047,0.9669876203576341,0.9763888888888889,0.9975240715268227,0.9971603734776968,0.011834319526627219,0.033012379642365884
KFall::SA23,KFall,SA23,2,local_val,last_round_local_fit,522,0.9816849816849816,0.9814206342678102,0.9861271676300578,0.984354628422425,0.9767141009055628,0.9805194805194806,0.9970193450934353,0.9967731294227792,0.013872832369942197,0.02328589909443726
KFall::SA30,KFall,SA30,2,local_val,last_round_local_fit,514,0.9831730769230769,0.9837239583333333,0.9765625,0.9731457800511509,0.9908854166666666,0.9819354838709677,0.9973536900111607,0.9966605620665876,0.0234375,0.009114583333333334
SisFall::SA17,SisFall,SA17,1,local_val,last_round_local_fit,885,0.9722958323295592,0.9756181288357102,0.9612676056338029,0.9410011918951132,0.9899686520376175,0.9648640391078521,0.9977315652886318,0.9964628173634376,0.03873239436619718,0.010031347962382446
SisFall::SA08,SisFall,SA08,1,local_val,last_round_local_fit,881,0.9714625445897741,0.9734617985125085,0.9618661257606491,0.9480088495575221,0.9850574712643678,0.9661781285231116,0.9974132102305846,0.9963830111862112,0.03813387423935091,0.014942528735632184
SisFall::SA20,SisFall,SA20,1,local_val,last_round_local_fit,884,0.9757785467128027,0.9764423647619564,0.9725042301184433,0.9620770128354725,0.9803804994054697,0.9711425206124853,0.997226279648553,0.9963657613866317,0.027495769881556685,0.019619500594530322
SisFall::SA18,SisFall,SA18,1,local_val,last_round_local_fit,1083,0.9730202348238821,0.9748760672690611,0.9606716747680071,0.950828729281768,0.9890804597701149,0.9695774647887324,0.9972374175263231,0.9962777861806584,0.03932832523199293,0.010919540229885057
KFall::SA33,KFall,SA33,2,local_val,last_round_local_fit,434,0.9776601998824221,0.9759199355291373,0.9886246122026887,0.9846796657381616,0.9632152588555858,0.9738292011019284,0.9969525682678246,0.9959353707000488,0.011375387797311272,0.03678474114441417
KFall::SA19,KFall,SA19,2,local_val,last_round_local_fit,506,0.9842799188640974,0.9842820188436663,0.9842053307008884,0.9833333333333333,0.9843587069864442,0.9838457529963522,0.9976818564089156,0.9956658062082578,0.01579466929911155,0.01564129301355579
SisFall::SA22,SisFall,SA22,1,local_val,last_round_local_fit,895,0.9670644391408114,0.9702650166119369,0.9477643125783536,0.9345206914614982,0.9927657206455203,0.9627630868861305,0.9963353046273667,0.9948887361098617,0.05223568742164647,0.007234279354479688
KFall::SA12,KFall,SA12,2,local_val,last_round_local_fit,394,0.9675324675324676,0.9656228779160305,0.9857651245551602,0.9821162444113264,0.945480631276901,0.9634502923976608,0.9952482338304648,0.9946779509698798,0.014234875444839857,0.054519368723098996
SisFall::SA23,SisFall,SA23,1,local_val,last_round_local_fit,881,0.9624256837098693,0.9653313049357675,0.9484787018255578,0.9308278867102396,0.982183908045977,0.9558165548098434,0.9959632556946679,0.9943467452124882,0.05152129817444219,0.017816091954022988
SisFall::SA09,SisFall,SA09,1,local_val,last_round_local_fit,1215,0.970291914234048,0.9711425272360559,0.9559686888454012,0.952431289640592,0.9863163656267104,0.9690777090615756,0.9950902262967855,0.9942629971766174,0.04403131115459882,0.013683634373289545
SisFall::SA06,SisFall,SA06,1,local_val,last_round_local_fit,1023,0.9650504553285749,0.9666439492636298,0.958091286307054,0.9410391126678342,0.9751966122202057,0.9578134284016637,0.9951916922080563,0.9937853615168551,0.041908713692946055,0.024803387779794312
SisFall::SA21,SisFall,SA21,1,local_val,last_round_local_fit,959,0.9648655197480009,0.9654211750429771,0.9618768328445748,0.9487900956668542,0.9689655172413794,0.9587716804094398,0.9952092031068672,0.9936958500368344,0.03812316715542522,0.03103448275862069
KFall::SA38,KFall,SA38,2,local_val,last_round_local_fit,400,0.9754055468341183,0.9750290526520055,0.9796708615682478,0.9759450171821306,0.9703872437357631,0.9731581953169617,0.9945411886118014,0.9933911909480289,0.02032913843175218,0.029612756264236904
KFall::SA15,KFall,SA15,2,local_val,last_round_local_fit,454,0.9649698960043788,0.9656451436687425,0.95968534906588,0.9504830917874396,0.971604938271605,0.960927960927961,0.9945288126540175,0.9922198120852463,0.04031465093411996,0.028395061728395062
SisFall::SA13,SisFall,SA13,1,local_val,last_round_local_fit,899,0.9663243372342967,0.9625033005451331,0.9806629834254144,0.9695652173913043,0.9443436176648518,0.9567882316886301,0.9947661590631179,0.9915040309411812,0.019337016574585635,0.05565638233514821
KFall::SA20,KFall,SA20,2,local_val,last_round_local_fit,430,0.98328530259366,0.9836797114925624,0.9816247582205029,0.9732394366197183,0.985734664764622,0.9794472005669738,0.9952016599662818,0.9904081520004675,0.0183752417794971,0.014265335235378032
SisFall::SA19,SisFall,SA19,1,local_val,last_round_local_fit,1057,0.9612807148175726,0.9644766574772903,0.9410222804718218,0.9271844660194175,0.9879310344827587,0.9565943238731218,0.994263669825201,0.9900264818657813,0.05897771952817824,0.01206896551724138
SisFall::SA04,SisFall,SA04,1,local_val,last_round_local_fit,887,0.955941890926411,0.9517788247409894,0.9742765273311897,0.9613059250302297,0.9292811221507891,0.9450222882615156,0.9920673587398355,0.9890475375987358,0.02572347266881029,0.07071887784921099
